tarih,tahmin,stok,promo,belirsizlik,karar,miktar,aciliyet,gercek,gerekce
2015-06-20,4650.1,3720.1,0,0.4524,siparis_ver,1650,yuksek,4097.0,"Gereken toplam 5347.6, mevcut stok 3720.1; 1627.5 birim açık var."
2015-06-22,4096.1,3277.6,0,0.4854,siparis_ver,1450,yuksek,3846.0,"Gereken toplam 4710.5, mevcut stok 3277.6; 1432.9 birim açık var. Promosyon yok."
2015-06-23,3609.7,3076.8,0,0.5852,insana_sor,1050,orta,3762.0,"Gereken toplam 4151.2, mevcut stok 3076.8; 1074.4 birim açık var. Belirsizlik oranı %58.52 ile aralık geniş, insan onayı gerekmektedir."
2015-06-24,3477.0,3009.6,0,0.585,insana_sor,1000,orta,3346.0,"Gereken toplam 3998.6, mevcut stok 3009.6; 989.0 birim açık var. Belirsizlik oranı %58.5 ile aralık geniş, insan onayı gerekmektedir."
2015-06-25,3343.0,2676.8,0,0.6146,siparis_ver,1150,yuksek,3533.0,"Gereken toplam 3844.4, mevcut stok 2676.8; 1167.6 birim açık var."
2015-06-26,3636.0,2826.4,0,0.5704,siparis_ver,1350,yuksek,3317.0,"Gereken toplam 4181.4, mevcut stok 2826.4; 1355.0 birim açık var. Promosyon yok."
2015-06-27,4515.5,2653.6,0,0.4562,siparis_ver,2550,yuksek,4019.0,"Gereken toplam 5192.8, mevcut stok 2653.6; 2539.2 birim açık var. Promosyon yok."
2015-06-29,5250.2,3215.2,1,0.3763,siparis_ver,3350,yuksek,5197.0,"Gereken toplam 6562.8, mevcut stok 3215.2; 3347.6 birim açık var. Promosyon mevcut."
2015-06-30,4772.4,4157.6,1,0.4391,siparis_ver,1800,yuksek,5735.0,"Gereken toplam 5965.5, mevcut stok 4157.6; 1807.9 birim açık var. Promosyon mevcut."
2015-07-01,4651.3,4588.0,1,0.4574,siparis_ver,1250,yuksek,5223.0,"Gereken toplam 5814.1, mevcut stok 4588.0; 1226.1 birim açık var. Promosyon mevcut."
