magaza,smape_val,kapsama_val,n_val,smape_test,kapsama_test,kapali,eski_kapi_test
1,6.78,73.91,33,6.04,91.67,False,False
2,9.89,66.39,34,9.59,70.83,False,False
3,7.12,83.48,33,6.04,87.5,False,False
4,5.93,91.6,34,8.12,79.17,False,False
5,6.61,91.6,34,7.59,83.33,False,False
6,6.98,85.71,34,8.37,79.17,False,False
7,7.01,83.19,34,9.48,83.33,False,False
8,6.38,89.08,34,7.46,87.5,False,False
9,7.7,71.3,33,8.31,87.5,False,False
10,5.7,78.15,34,9.55,54.17,False,True
11,7.49,84.03,34,6.89,91.67,False,False
12,7.16,75.63,34,6.73,83.33,False,False
13,11.08,67.83,33,12.41,75.0,False,False
14,4.79,84.35,33,5.94,83.33,False,False
15,5.92,88.24,34,7.43,83.33,False,False
16,6.43,77.39,33,6.47,66.67,False,True
17,7.72,82.35,34,6.55,87.5,False,False
18,6.24,86.55,34,6.36,75.0,False,False
19,8.82,66.96,33,6.41,87.5,False,False
20,8.0,70.43,33,9.82,62.5,False,True
21,10.43,67.83,33,9.63,83.33,False,False
22,10.32,53.04,33,10.26,62.5,True,True
23,7.81,80.87,33,8.5,79.17,False,False
24,7.3,80.87,33,6.97,79.17,False,False
25,5.93,93.04,33,7.91,79.17,False,False
26,6.33,85.71,34,9.27,79.17,False,False
27,7.22,80.87,33,9.3,75.0,False,False
28,7.93,94.12,34,8.28,83.33,False,False
29,6.48,83.48,33,9.54,75.0,False,False
30,10.19,76.52,33,10.46,83.33,False,False
31,5.88,84.03,34,6.15,79.17,False,False
32,6.61,78.26,33,8.89,70.83,False,False
33,4.96,92.17,33,8.39,70.83,False,False
34,4.63,86.55,34,6.16,87.5,False,False
35,8.69,70.43,33,7.95,87.5,False,False
36,5.51,81.74,33,11.81,50.0,False,True
37,7.64,78.99,34,6.02,95.83,False,False
38,9.53,71.3,33,5.63,91.67,False,False
39,19.42,45.22,33,8.35,83.33,True,False
40,9.72,70.43,33,9.66,83.33,False,False
41,7.66,87.83,33,10.78,66.67,False,True
42,7.73,74.78,33,6.75,75.0,False,False
43,9.32,76.52,33,9.25,70.83,False,False
44,7.62,75.63,34,10.13,62.5,False,True
45,7.03,82.61,33,8.42,83.33,False,False
46,6.77,90.43,33,13.01,58.33,False,True
47,5.79,87.39,34,5.81,91.67,False,False
48,6.48,84.87,34,8.78,75.0,False,False
49,4.9,92.17,33,6.22,83.33,False,False
50,8.42,72.17,33,8.42,79.17,False,False
51,5.74,89.57,33,8.38,83.33,False,False
52,7.79,73.91,33,7.31,79.17,False,False
53,5.13,92.44,34,8.47,83.33,False,False
54,5.38,94.12,34,6.66,95.83,False,False
55,7.59,84.03,34,8.02,79.17,False,False
56,7.85,75.65,33,7.35,79.17,False,False
57,8.52,89.08,34,7.42,87.5,False,False
58,9.48,66.96,33,11.76,54.17,False,True
59,6.6,88.24,34,7.98,79.17,False,False
60,8.37,73.11,34,9.48,66.67,False,True
61,13.7,48.7,33,13.92,45.83,True,True
62,6.22,83.48,33,5.26,91.67,False,False
63,6.77,81.51,34,9.16,70.83,False,False
64,7.7,78.26,33,6.28,91.67,False,False
65,7.61,82.35,34,7.34,87.5,False,False
66,6.89,85.22,33,7.18,79.17,False,False
67,6.02,86.96,33,9.64,58.33,False,True
68,8.3,84.87,34,14.76,54.17,False,True
69,5.96,83.48,33,6.0,83.33,False,False
70,6.63,74.77,32,9.2,58.33,False,True
71,6.68,78.26,33,5.34,87.5,False,False
72,8.4,76.52,33,6.9,91.67,False,False
73,6.73,89.08,34,5.3,95.83,False,False
74,6.85,80.87,33,7.72,79.17,False,False
75,7.15,80.67,34,7.07,75.0,False,False
76,6.17,77.39,33,9.42,70.83,False,False
77,6.72,81.74,33,7.88,75.0,False,False
78,7.89,75.63,34,9.06,58.33,False,True
79,6.93,73.04,33,7.85,70.83,False,False
80,6.81,84.35,33,7.69,75.0,False,False
81,7.18,84.35,33,8.15,66.67,False,True
82,7.36,72.17,33,7.83,75.0,False,False
83,7.04,73.04,33,10.99,45.83,False,True
84,7.1,66.09,33,5.33,79.17,False,False
85,11.16,84.29,40,10.66,85.71,False,False
86,7.19,84.35,33,8.99,75.0,False,False
87,9.28,74.79,34,9.82,70.83,False,False
88,5.72,90.76,34,7.31,91.67,False,False
89,6.96,67.83,33,7.23,75.0,False,False
90,6.7,84.35,33,8.14,79.17,False,False
91,9.07,78.26,33,9.52,75.0,False,False
92,7.63,86.09,33,7.93,83.33,False,False
93,6.71,88.7,33,6.98,95.83,False,False
94,5.63,91.3,33,5.66,95.83,False,False
95,7.7,84.03,34,6.44,83.33,False,False
96,10.09,78.15,34,9.05,79.17,False,False
97,6.84,81.51,34,8.08,75.0,False,False
98,6.33,87.83,33,6.87,87.5,False,False
99,8.92,69.57,33,7.35,83.33,False,False
100,7.48,80.0,33,7.58,87.5,False,False
101,6.69,76.47,34,7.69,66.67,False,True
102,8.66,88.7,33,13.97,62.5,False,True
103,8.37,73.11,34,7.52,79.17,False,False
104,4.65,87.39,34,5.65,79.17,False,False
105,8.36,83.48,33,8.18,87.5,False,False
106,5.78,72.27,34,6.46,79.17,False,False
107,5.62,76.47,34,7.2,70.83,False,False
108,5.75,87.83,33,7.96,70.83,False,False
109,5.43,85.71,34,7.47,75.0,False,False
110,6.81,88.24,34,9.98,79.17,False,False
111,5.82,87.83,33,5.53,87.5,False,False
112,6.55,65.55,34,9.38,58.33,True,True
113,6.18,95.65,33,9.1,79.17,False,False
114,6.61,80.67,34,9.27,66.67,False,True
115,7.96,84.35,33,10.9,75.0,False,False
116,6.02,76.47,34,5.33,87.5,False,False
117,6.82,78.26,33,7.66,75.0,False,False
118,6.96,89.92,34,8.03,83.33,False,False
119,4.7,82.35,34,5.37,91.67,False,False
120,6.6,79.13,33,8.86,66.67,False,True
121,5.69,96.64,34,8.51,79.17,False,False
122,8.65,96.43,40,17.91,67.86,False,True
123,7.04,84.03,34,6.64,91.67,False,False
124,8.91,83.48,33,14.05,66.67,False,True
125,10.07,71.43,34,7.71,75.0,False,False
126,8.51,87.83,33,8.17,91.67,False,False
127,9.55,72.17,33,12.0,62.5,False,True
128,8.63,77.39,33,8.09,83.33,False,False
129,7.17,68.7,33,10.66,54.17,False,True
130,6.81,78.26,33,8.36,62.5,False,True
131,14.62,36.52,33,12.01,58.33,True,True
132,7.44,82.61,33,8.1,70.83,False,False
133,7.88,84.87,34,6.81,95.83,False,False
134,5.47,78.99,34,7.21,66.67,False,True
135,7.95,71.3,33,7.62,75.0,False,False
136,7.5,82.61,33,8.22,83.33,False,False
137,5.29,87.83,33,16.6,33.33,False,True
138,7.73,90.76,34,7.23,87.5,False,False
139,9.61,66.09,33,10.29,58.33,False,True
140,5.72,83.48,33,6.46,79.17,False,False
141,7.95,76.52,33,7.32,83.33,False,False
142,6.11,73.91,33,6.53,79.17,False,False
143,8.03,73.91,33,7.26,83.33,False,False
144,9.35,75.0,34,6.45,91.67,False,False
145,5.41,86.96,33,7.58,83.33,False,False
146,6.54,82.61,33,5.34,87.5,False,False
147,6.37,88.7,33,6.27,95.83,False,False
148,6.91,68.91,34,4.0,100.0,False,False
149,9.19,68.7,33,13.44,41.67,False,True
150,5.79,84.87,34,8.61,75.0,False,False
151,6.0,83.19,34,8.36,79.17,False,False
152,6.64,84.35,33,5.51,87.5,False,False
153,6.02,86.09,33,11.83,62.5,False,True
154,6.61,82.61,33,6.64,87.5,False,False
155,8.1,73.91,33,13.13,58.33,False,True
156,8.23,87.39,34,8.03,91.67,False,False
157,6.99,68.7,33,5.79,87.5,False,False
158,8.13,83.48,33,5.47,87.5,False,False
159,6.31,84.35,33,5.75,83.33,False,False
160,6.81,79.13,33,8.27,70.83,False,False
161,6.24,79.13,33,6.16,83.33,False,False
162,8.25,76.52,33,5.66,91.67,False,False
163,4.45,98.32,34,8.77,58.33,False,True
