magaza,tarih,agent,aciliyet,miktar,indirim_orani,net_etki_eur,onay_gerekli,magaza_kapali,smape,kapsama,smape_test,onerilen_aksiyon,acik,pol_acilis,pol_fire,pol_fire_eur,pol_stoksuz,pol_kacan_kar,talep_p90,stoksuz_p90,kacan_kar_p90,dejenere,_tukendi,_kacan,referans,risk_eur
1,2015-07-04,bekle,dusuk,0,0.0,0.0,False,False,6.78,73.9,6.04,,1,339.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,False,False,0.0,bekle,0.0
1,2015-07-05,insana_sor,kritik,0,0.0,0.0,True,True,6.78,73.9,6.04,,0,227.9,42.4,254.2581024169922,0.0,0.0,0.0,0.0,0.0,False,False,0.0,indirim_uygula,254.2581024169922
1,2015-07-06,indirim_uygula,kritik,0,0.5,247.2,True,False,6.78,73.9,6.04,,1,185.5,82.4,494.31431579589844,0.0,0.0,115.1,0.0,0.0,False,False,0.0,indirim_uygula,494.31431579589844
1,2015-07-07,siparis_ver,kritik,145,0.0,290.0,True,False,6.78,73.9,6.04,,1,0.0,0.0,0.0,96.5,193.0089874267578,107.2,107.2,214.353515625,False,True,214.353515625,siparis_ver,214.353515625
1,2015-07-08,siparis_ver,kritik,138,0.0,276.0,True,False,6.78,73.9,6.04,,1,0.0,0.0,0.0,94.6,189.1981658935547,106.2,106.2,212.3661346435547,False,True,212.3661346435547,siparis_ver,212.3661346435547
1,2015-07-09,siparis_ver,kritik,123,0.0,246.0,True,False,6.78,73.9,6.04,,1,89.2,0.0,0.0,5.6,11.165557861328125,106.3,17.1,34.24052429199219,False,True,34.24052429199219,siparis_ver,34.24052429199219
1,2015-07-10,siparis_ver,kritik,116,0.0,232.0,True,False,6.78,73.9,6.04,,1,206.9,0.0,0.0,0.0,0.0,111.3,0.0,0.0,False,False,0.0,bekle,0.0
1,2015-07-11,siparis_ver,kritik,112,0.0,224.0,True,False,6.78,73.9,6.04,,1,106.4,0.0,0.0,8.0,16.0595703125,126.1,30.4,60.85963439941406,False,True,60.85963439941406,siparis_ver,60.85963439941406
1,2015-07-12,insana_sor,dusuk,0,0.0,0.0,True,True,6.78,73.9,6.04,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,bekle,0.0
1,2015-07-13,siparis_ver,kritik,81,0.0,162.0,True,False,6.78,73.9,6.04,,1,138.5,0.0,0.0,8.1,16.140106201171875,163.2,24.7,49.3992919921875,False,True,49.3992919921875,siparis_ver,49.3992919921875
1,2015-07-14,siparis_ver,kritik,72,0.0,144.0,True,False,6.78,73.9,6.04,,1,122.6,0.0,0.0,6.8,13.643203735351562,143.4,20.8,41.62666320800781,False,True,41.62666320800781,siparis_ver,41.62666320800781
1,2015-07-15,siparis_ver,kritik,94,0.0,188.0,True,False,6.78,73.9,6.04,,1,116.2,0.0,0.0,6.5,12.966339111328125,135.8,19.6,39.24237060546875,False,True,39.24237060546875,siparis_ver,39.24237060546875
1,2015-07-16,siparis_ver,kritik,87,0.0,174.0,True,False,6.78,73.9,6.04,,1,111.5,0.0,0.0,6.3,12.556411743164062,130.5,19.0,38.09912109375,False,True,38.09912109375,siparis_ver,38.09912109375
1,2015-07-17,siparis_ver,kritik,85,0.0,170.0,True,False,6.78,73.9,6.04,,1,218.3,0.0,0.0,0.0,0.0,131.5,0.0,0.0,False,False,0.0,bekle,0.0
1,2015-07-18,siparis_ver,kritik,85,0.0,170.0,True,False,6.78,73.9,6.04,,1,99.2,0.0,0.0,8.3,16.51226806640625,118.8,32.0,64.04391479492188,False,True,64.04391479492188,siparis_ver,64.04391479492188
1,2015-07-19,insana_sor,dusuk,0,0.0,0.0,True,True,6.78,73.9,6.04,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,bekle,0.0
1,2015-07-20,siparis_ver,kritik,55,0.0,110.0,True,False,6.78,73.9,6.04,,1,93.6,0.0,0.0,5.6,11.200225830078125,110.4,16.8,33.572021484375,False,True,33.572021484375,siparis_ver,33.572021484375
1,2015-07-21,siparis_ver,kritik,51,0.0,102.0,True,False,6.78,73.9,6.04,,1,86.9,0.0,0.0,4.8,9.627182006835938,101.1,14.2,28.41607666015625,False,True,28.41607666015625,siparis_ver,28.41607666015625
1,2015-07-22,siparis_ver,kritik,131,0.0,262.0,True,False,6.78,73.9,6.04,,1,85.4,0.0,0.0,5.0,10.069595336914062,100.5,15.1,30.261322021484375,False,True,30.261322021484375,siparis_ver,30.261322021484375
1,2015-07-23,siparis_ver,kritik,116,0.0,232.0,True,False,6.78,73.9,6.04,,1,85.0,0.0,0.0,4.9,9.871231079101562,99.8,14.8,29.518417358398438,False,True,29.518417358398438,siparis_ver,29.518417358398438
1,2015-07-24,siparis_ver,kritik,125,0.0,250.0,True,False,6.78,73.9,6.04,,1,195.7,0.0,0.0,0.0,0.0,105.1,0.0,0.0,False,False,0.0,bekle,0.0
1,2015-07-25,siparis_ver,kritik,130,0.0,260.0,True,False,6.78,73.9,6.04,,1,100.4,0.0,0.0,7.7,15.30511474609375,119.5,28.9,57.781494140625,False,True,57.781494140625,siparis_ver,57.781494140625
1,2015-07-26,insana_sor,dusuk,0,0.0,0.0,True,True,6.78,73.9,6.04,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,bekle,0.0
1,2015-07-27,siparis_ver,kritik,78,0.0,156.0,True,False,6.78,73.9,6.04,,1,131.2,0.0,0.0,8.4,16.78515625,157.1,25.9,51.78619384765625,False,True,51.78619384765625,siparis_ver,51.78619384765625
1,2015-07-28,siparis_ver,kritik,69,0.0,138.0,True,False,6.78,73.9,6.04,,1,116.5,0.0,0.0,7.2,14.439590454101562,139.8,23.2,46.47576904296875,False,True,46.47576904296875,siparis_ver,46.47576904296875
1,2015-07-29,siparis_ver,kritik,76,0.0,152.0,True,False,6.78,73.9,6.04,,1,124.7,0.0,0.0,9.2,18.304611206054688,154.1,29.4,58.78337097167969,False,True,58.78337097167969,siparis_ver,58.78337097167969
1,2015-07-30,siparis_ver,kritik,80,0.0,160.0,True,False,6.78,73.9,6.04,,1,130.3,0.0,0.0,10.1,20.15625,162.3,32.1,64.10433959960938,False,True,64.10433959960938,siparis_ver,64.10433959960938
1,2015-07-31,siparis_ver,kritik,76,0.0,152.0,True,False,6.78,73.9,6.04,,1,126.2,0.0,0.0,8.9,17.793411254882812,154.0,27.9,55.71345520019531,False,True,55.71345520019531,siparis_ver,55.71345520019531
2,2015-07-04,siparis_ver,yuksek,222,0.0,444.0,True,False,9.89,66.4,9.59,,1,23.4,0.0,0.0,64.3,128.53233642578124,105.3,81.9,163.75375671386718,False,True,163.75375671386718,siparis_ver,163.75375671386718
2,2015-07-05,insana_sor,dusuk,0,0.0,0.0,True,True,9.89,66.4,9.59,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,bekle,0.0
2,2015-07-06,siparis_ver,kritik,219,0.0,438.0,True,False,9.89,66.4,9.59,,1,221.8,0.0,0.0,0.0,0.0,133.2,0.0,0.0,False,False,0.0,bekle,0.0
2,2015-07-07,siparis_ver,kritik,68,0.0,136.0,True,False,9.89,66.4,9.59,,1,103.9,0.0,0.0,10.7,21.429840087890625,129.0,40.4,80.7379150390625,False,True,80.7379150390625,siparis_ver,80.7379150390625
2,2015-07-08,siparis_ver,kritik,177,0.0,354.0,True,False,9.89,66.4,9.59,,1,218.8,0.0,0.0,0.0,0.0,130.9,0.0,0.0,False,False,0.0,bekle,0.0
2,2015-07-09,siparis_ver,kritik,68,0.0,136.0,True,False,9.89,66.4,9.59,,1,103.3,0.0,0.0,10.8,21.6629638671875,129.3,41.4,82.70925903320312,False,True,82.70925903320312,siparis_ver,82.70925903320312
2,2015-07-10,siparis_ver,kritik,0,0.0,0.0,True,False,9.89,66.4,9.59,,1,176.7,0.0,0.0,0.0,0.0,122.7,0.0,0.0,False,False,0.0,bekle,0.0
2,2015-07-11,siparis_ver,kritik,314,0.0,628.0,True,False,9.89,66.4,9.59,,1,66.8,0.0,0.0,8.4,16.772796630859375,85.6,31.6,63.21893310546875,False,True,63.21893310546875,siparis_ver,63.21893310546875
2,2015-07-12,insana_sor,dusuk,0,0.0,0.0,True,True,9.89,66.4,9.59,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,bekle,0.0
2,2015-07-13,siparis_ver,kritik,283,0.0,566.0,True,False,9.89,66.4,9.59,,1,313.9,0.0,0.0,0.0,0.0,213.9,0.0,0.0,False,False,0.0,bekle,0.0
2,2015-07-14,siparis_ver,kritik,124,0.0,248.0,True,False,9.89,66.4,9.59,,1,123.2,0.0,0.0,41.2,82.47555541992188,183.6,83.5,167.09173583984375,False,True,167.09173583984375,siparis_ver,167.09173583984375
2,2015-07-15,siparis_ver,kritik,191,0.0,382.0,True,False,9.89,66.4,9.59,,1,283.1,0.0,0.0,0.0,0.0,170.1,0.0,0.0,False,False,0.0,bekle,0.0
2,2015-07-16,siparis_ver,kritik,84,0.0,168.0,True,False,9.89,66.4,9.59,,1,130.6,0.0,0.0,12.3,24.674896240234375,160.3,47.3,94.66305541992188,False,True,94.66305541992188,siparis_ver,94.66305541992188
2,2015-07-17,siparis_ver,kritik,8,0.0,16.0,True,False,9.89,66.4,9.59,,1,190.7,0.0,0.0,0.0,0.0,147.9,0.0,0.0,False,False,0.0,bekle,0.0
2,2015-07-18,siparis_ver,kritik,206,0.0,412.0,True,False,9.89,66.4,9.59,,1,58.5,0.0,0.0,9.5,18.991851806640625,78.3,35.5,71.06053161621094,False,True,71.06053161621094,siparis_ver,71.06053161621094
2,2015-07-19,insana_sor,dusuk,0,0.0,0.0,True,True,9.89,66.4,9.59,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,bekle,0.0
2,2015-07-20,siparis_ver,kritik,196,0.0,392.0,True,False,9.89,66.4,9.59,,1,205.5,0.0,0.0,0.0,0.0,122.9,0.0,0.0,False,False,0.0,bekle,0.0
2,2015-07-21,siparis_ver,kritik,63,0.0,126.0,True,False,9.89,66.4,9.59,,1,96.4,0.0,0.0,10.0,19.992477416992188,119.5,36.8,73.6514892578125,False,True,73.6514892578125,siparis_ver,73.6514892578125
2,2015-07-22,siparis_ver,kritik,156,0.0,312.0,True,False,9.89,66.4,9.59,,1,195.7,0.0,0.0,0.0,0.0,117.7,0.0,0.0,False,False,0.0,bekle,0.0
2,2015-07-23,siparis_ver,kritik,60,0.0,120.0,True,False,9.89,66.4,9.59,,1,92.0,0.0,0.0,9.4,18.724594116210938,114.1,36.0,72.0067138671875,False,True,72.0067138671875,siparis_ver,72.0067138671875
2,2015-07-24,siparis_ver,kritik,0,0.0,0.0,True,False,9.89,66.4,9.59,,1,156.0,0.0,0.0,0.0,0.0,111.1,0.0,0.0,False,False,0.0,bekle,0.0
