magaza,tarih,karar,onerilen_aksiyon,fire_gun_karsiligi,fire_riski_birim,stoksuz_p90_bugun,aciliyet,onay_gerekli_mi,magaza_kapali,miktar,indirim_orani
1,2015-07-04,siparis_ver,,0.0,0.0,0.0,orta,True,False,89,0.0
1,2015-07-05,insana_sor,,0.36,42.0,0.0,kritik,True,True,0,0.0
1,2015-07-06,indirim_uygula,,0.7,81.8,0.0,kritik,True,False,0,0.5
1,2015-07-07,bekle,,0.0,0.0,107.2,kritik,False,False,0,0.0
1,2015-07-08,siparis_ver,,0.0,0.0,106.2,kritik,True,False,138,0.0
1,2015-07-09,siparis_ver,,0.0,0.0,17.1,yuksek,True,False,123,0.0
1,2015-07-10,siparis_ver,,0.0,0.0,0.0,orta,True,False,116,0.0
1,2015-07-11,siparis_ver,,0.0,0.0,30.4,yuksek,True,False,112,0.0
1,2015-07-12,insana_sor,,0.04,5.0,0.0,kritik,True,True,0,0.0
1,2015-07-13,bekle,,0.0,0.0,24.7,yuksek,False,False,0,0.0
1,2015-07-14,bekle,,0.0,0.0,20.8,yuksek,False,False,0,0.0
1,2015-07-15,siparis_ver,,0.0,0.0,19.6,yuksek,True,False,94,0.0
1,2015-07-16,siparis_ver,,0.0,0.0,19.0,yuksek,True,False,87,0.0
1,2015-07-17,siparis_ver,,0.0,0.0,0.0,orta,True,False,85,0.0
1,2015-07-18,siparis_ver,,0.0,0.0,32.0,yuksek,True,False,85,0.0
1,2015-07-19,insana_sor,,0.09,10.0,0.0,kritik,True,True,0,0.0
1,2015-07-20,bekle,,0.0,0.0,16.8,yuksek,False,False,0,0.0
1,2015-07-21,bekle,,0.0,0.0,14.2,yuksek,False,False,0,0.0
1,2015-07-22,siparis_ver,,0.0,0.0,15.1,yuksek,True,False,131,0.0
1,2015-07-23,siparis_ver,,0.0,0.0,14.8,yuksek,True,False,116,0.0
1,2015-07-24,siparis_ver,,0.0,0.0,0.0,orta,True,False,125,0.0
1,2015-07-25,siparis_ver,,0.0,0.0,28.9,yuksek,True,False,130,0.0
1,2015-07-26,insana_sor,,0.03,3.6,0.0,kritik,True,True,0,0.0
1,2015-07-27,bekle,,0.0,0.0,25.9,yuksek,False,False,0,0.0
1,2015-07-28,bekle,,0.0,0.0,23.2,yuksek,False,False,0,0.0
1,2015-07-29,bekle,,0.0,0.0,29.4,yuksek,False,False,0,0.0
1,2015-07-30,bekle,,0.0,0.0,32.1,yuksek,False,False,0,0.0
1,2015-07-31,bekle,,0.0,0.0,27.9,yuksek,False,False,0,0.0
2,2015-07-04,siparis_ver,,0.0,0.0,81.9,yuksek,True,False,222,0.0
2,2015-07-05,insana_sor,,0.0,0.0,0.0,dusuk,True,True,0,0.0
2,2015-07-06,siparis_ver,,0.0,0.0,0.0,orta,True,False,219,0.0
2,2015-07-07,bekle,,0.0,0.0,40.4,yuksek,False,False,0,0.0
2,2015-07-08,siparis_ver,,0.0,0.0,0.0,orta,True,False,177,0.0
2,2015-07-09,bekle,,0.0,0.0,41.4,yuksek,False,False,0,0.0
2,2015-07-10,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0
2,2015-07-11,siparis_ver,,0.0,0.0,31.6,yuksek,True,False,314,0.0
2,2015-07-12,insana_sor,,0.07,7.9,0.0,kritik,True,True,0,0.0
2,2015-07-13,siparis_ver,,0.0,0.0,0.0,orta,True,False,283,0.0
2,2015-07-14,bekle,,0.0,0.0,83.5,yuksek,False,False,0,0.0
2,2015-07-15,siparis_ver,,0.0,0.0,0.0,orta,True,False,191,0.0
2,2015-07-16,bekle,,0.0,0.0,47.3,yuksek,False,False,0,0.0
2,2015-07-17,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0
2,2015-07-18,siparis_ver,,0.0,0.0,35.5,yuksek,True,False,206,0.0
2,2015-07-19,insana_sor,,0.08,9.0,0.0,kritik,True,True,0,0.0
2,2015-07-20,siparis_ver,,0.0,0.0,0.0,orta,True,False,196,0.0
2,2015-07-21,bekle,,0.0,0.0,36.8,yuksek,False,False,0,0.0
2,2015-07-22,siparis_ver,,0.0,0.0,0.0,orta,True,False,156,0.0
2,2015-07-23,bekle,,0.0,0.0,36.0,yuksek,False,False,0,0.0
2,2015-07-24,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0
2,2015-07-25,siparis_ver,,0.0,0.0,29.8,yuksek,True,False,307,0.0
2,2015-07-26,insana_sor,,0.06,7.2,0.0,kritik,True,True,0,0.0
2,2015-07-27,siparis_ver,,0.0,0.0,0.0,orta,True,False,281,0.0
2,2015-07-28,bekle,,0.0,0.0,53.1,yuksek,False,False,0,0.0
2,2015-07-29,siparis_ver,,0.0,0.0,0.0,orta,True,False,135,0.0
2,2015-07-30,bekle,,0.0,0.0,51.9,yuksek,False,False,0,0.0
2,2015-07-31,bekle,,0.0,0.0,28.7,yuksek,False,False,0,0.0
3,2015-07-04,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0
3,2015-07-05,insana_sor,,0.0,0.0,0.0,dusuk,True,True,0,0.0
3,2015-07-06,insana_sor,indirim_uygula (%50 indirim) + siparis_ver (283 adet),0.92,152.3,0.0,kritik,True,False,0,0.0
3,2015-07-07,bekle,,0.0,0.0,164.7,kritik,False,False,0,0.0
3,2015-07-08,siparis_ver,,0.0,0.0,0.0,orta,False,False,250,0.0
3,2015-07-09,bekle,,0.0,0.0,56.6,yuksek,False,False,0,0.0
3,2015-07-10,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0
3,2015-07-11,siparis_ver,,0.0,0.0,45.2,yuksek,False,False,437,0.0
3,2015-07-12,insana_sor,,0.07,11.9,0.0,kritik,True,True,0,0.0
3,2015-07-13,siparis_ver,,0.0,0.0,0.0,orta,False,False,395,0.0
3,2015-07-14,bekle,,0.0,0.0,127.0,yuksek,False,False,0,0.0
3,2015-07-15,siparis_ver,,0.0,0.0,0.0,orta,False,False,276,0.0
3,2015-07-16,bekle,,0.0,0.0,66.3,yuksek,False,False,0,0.0
3,2015-07-17,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0
3,2015-07-18,siparis_ver,,0.0,0.0,51.1,yuksek,False,False,275,0.0
3,2015-07-19,insana_sor,,0.08,12.6,0.0,kritik,True,True,0,0.0
3,2015-07-20,siparis_ver,,0.0,0.0,0.0,orta,False,False,261,0.0
3,2015-07-21,bekle,,0.0,0.0,50.9,yuksek,False,False,0,0.0
3,2015-07-22,siparis_ver,,0.0,0.0,0.0,orta,False,False,225,0.0
3,2015-07-23,bekle,,0.0,0.0,49.4,yuksek,False,False,0,0.0
3,2015-07-24,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0
3,2015-07-25,siparis_ver,,0.0,0.0,44.5,yuksek,False,False,430,0.0
3,2015-07-26,insana_sor,,0.06,9.8,0.0,kritik,True,True,0,0.0
3,2015-07-27,siparis_ver,,0.0,0.0,0.0,orta,False,False,398,0.0
3,2015-07-28,bekle,,0.0,0.0,76.2,yuksek,False,False,0,0.0
3,2015-07-29,siparis_ver,,0.0,0.0,0.0,orta,False,False,199,0.0
3,2015-07-30,bekle,,0.0,0.0,77.6,yuksek,False,False,0,0.0
3,2015-07-31,bekle,,0.0,0.0,43.8,yuksek,False,False,0,0.0
4,2015-07-04,bekle,,0.0,0.0,0.0,dusuk,False,False,0,0.0
4,2015-07-05,insana_sor,,0.0,0.0,0.0,dusuk,True,True,0,0.0
4,2015-07-06,insana_sor,indirim_uygula (%50 indirim) + siparis_ver (392 adet),1.01,237.5,0.0,kritik,True,False,0,0.0
