segment,deger,n,sMAPE,wMAPE,bias_%,kapsama_%,p10_alti_%,p90_ustu_%
magaza_tipi,a,14453,8.45,8.2,-0.05,76.6,13.5,9.9
magaza_tipi,b,476,8.53,7.9,-2.37,85.5,6.1,8.4
magaza_tipi,c,3552,8.46,8.23,-1.78,77.2,10.1,12.7
magaza_tipi,d,8364,8.1,7.97,-1.4,78.4,9.2,12.4
promosyon,yok,15717,8.63,8.43,-1.63,77.6,9.8,12.5
promosyon,var,11128,7.93,7.81,0.12,77.0,14.1,8.9
gun,Friday,4452,7.98,7.98,-1.3,77.8,11.5,10.7
gun,Monday,4453,8.17,8.02,-2.45,77.0,7.8,15.2
gun,Saturday,4453,10.27,9.93,1.95,72.6,17.4,9.9
gun,Sunday,129,18.41,15.9,-10.47,73.6,7.0,19.4
gun,Thursday,4452,8.61,8.47,-0.93,74.5,11.7,13.8
gun,Tuesday,4453,7.29,7.1,-0.57,81.4,10.2,8.5
gun,Wednesday,4453,7.44,7.33,-0.06,81.2,11.0,7.8
talep_dilimi,Q1 (en dusuk),5369,9.57,9.41,-0.59,76.1,12.4,11.5
talep_dilimi,Q2,5370,8.35,8.3,-1.02,76.8,11.0,12.2
talep_dilimi,Q3,5368,8.17,8.15,-0.85,77.5,11.3,11.2
talep_dilimi,Q4,5370,7.93,7.99,-0.74,78.2,11.7,10.1
talep_dilimi,Q5 (en yuksek),5368,7.69,7.67,-0.66,78.3,11.5,10.2
