magaza,magaza_tipi,tedarikci,tipik_gunluk_talep_adet,stok_toplam_adet,kalan_raf_omru_gun,stok_gun_karsiligi,tukenme_gun_taban_p50,fire_taban_p50,stoksuz_taban_p50,kacan_kar_taban_p50,tukenme_gun_taban_p90,fire_taban_p90,stoksuz_taban_p90,kacan_kar_taban_p90,tukenme_gun_politika_p50,fire_politika_p50,stoksuz_politika_p50,kacan_kar_politika_p50,tukenme_gun_politika_p10,fire_politika_p10,stoksuz_politika_p10,kacan_kar_politika_p10,tukenme_gun_politika_p90,fire_politika_p90,stoksuz_politika_p90,kacan_kar_politika_p90,siparis_toplam,siparis_sayisi,net_kazanc_eur,aciliyet,onay_kritik_stok,onay_fire_riski,onay_belirsiz,max_siparis_tutar_eur,onay_yuksek_tutar,onay_gerekli,onay_sebep
1,c,Nordmann,117.0,339.0,1,2.9,4,124.8,2491.2,4982.1,4,96.9,2784.0,5567.9,4,124.8,312.5,624.8,4,211.6,173.2,346.3,4,96.9,605.3,1210.6,2178.7,17,4357.3,normal,0,1,0,1309.8,0,1,fire_riski
2,a,Schnellware,117.2,23.4,1,0.2,1,0.0,2906.7,5813.1,1,0.0,3283.9,6567.6,1,0.0,220.7,441.5,1,80.6,69.8,139.6,1,0.0,597.9,1196.0,2685.6,12,5371.6,kritik,1,0,0,1883.4,0,1,kritik_stok
3,a,Schnellware,164.8,439.5,3,2.67,4,154.9,3790.5,7581.0,4,109.1,4284.2,8568.3,4,154.9,360.9,721.7,4,306.3,164.2,328.5,4,109.1,853.3,1706.7,3429.5,11,6859.3,normal,0,0,0,2619.6,0,0,yok
4,c,Schnellware,235.8,707.4,1,3.0,4,239.6,5219.5,10439.5,4,177.4,5853.7,11707.6,4,239.6,420.0,840.3,4,438.9,240.8,481.6,4,177.4,1054.0,2108.4,4799.6,11,9599.2,normal,0,0,0,3359.4,0,0,yok
5,a,Schnellware,107.8,21.6,1,0.2,1,0.0,2734.7,5469.8,1,0.0,3137.7,6275.8,1,0.0,227.8,455.2,1,80.9,59.4,118.9,1,0.0,630.6,1261.2,2507.1,12,5014.6,kritik,1,0,0,1771.8,0,1,kritik_stok
6,a,Schnellware,133.8,55.9,1,0.42,1,0.0,2780.9,5561.5,1,0.0,3178.5,6356.8,1,0.0,173.6,347.2,1,89.7,47.8,95.6,1,0.0,571.2,1142.5,2607.0,12,5214.3,kritik,1,0,0,1823.4,0,1,kritik_stok
7,a,Schnellware,210.6,299.3,3,1.42,3,0.0,5381.0,10762.1,3,0.0,6229.4,12458.8,4,0.0,292.3,584.4,11,168.7,45.9,91.9,4,0.0,1100.2,2200.9,5088.9,12,10177.7,yuksek,0,0,0,3651.6,0,0,yok
8,a,Schnellware,128.2,168.0,1,1.31,3,0.0,3578.0,7156.0,3,0.0,4131.1,8261.7,4,0.0,234.8,469.5,11,114.6,25.6,51.2,4,0.0,759.1,1518.4,3343.5,12,6686.5,yuksek,0,0,0,2408.4,0,0,yok
9,a,Nordmann,157.6,293.1,1,1.86,3,108.4,4133.3,8266.3,3,75.1,4650.3,9300.6,3,108.4,700.4,1401.1,3,255.9,429.5,859.0,3,75.1,1217.9,2435.4,3432.6,17,6865.2,yuksek,0,1,0,1986.6,0,1,fire_riski
10,a,Schnellware,136.0,103.5,1,0.76,1,0.0,3308.2,6616.3,1,0.0,3638.9,7277.7,1,0.0,144.6,288.9,1,74.4,38.4,76.7,1,0.0,475.0,950.4,3163.7,12,6327.4,kritik,1,0,0,2085.0,0,1,kritik_stok
11,a,Rheinland,195.4,238.1,2,1.22,3,86.1,4393.4,8786.7,3,58.7,4988.5,9976.7,3,130.4,1034.3,2068.6,3,306.0,756.0,1512.2,3,58.7,1584.9,3170.0,3403.3,8,6452.3,yuksek,0,0,0,2922.0,0,0,yok
12,a,Nordmann,183.2,417.5,1,2.28,4,87.8,4121.5,8242.9,4,43.2,4593.8,9187.9,4,87.8,519.7,1039.1,4,238.3,292.6,585.0,4,43.2,991.8,1984.1,3601.7,17,7203.8,normal,0,1,0,2047.8,0,1,fire_riski
13,d,Schnellware,119.5,292.0,1,2.44,4,75.3,2766.5,5533.2,4,33.2,3178.8,6357.5,4,75.3,295.1,590.0,4,196.3,112.0,224.0,4,33.2,681.5,1363.5,2471.6,12,4943.2,normal,0,0,0,1917.6,0,0,yok
14,a,Schnellware,132.7,398.1,1,3.0,4,161.2,2981.0,5962.3,4,127.5,3310.1,6619.9,4,161.2,252.7,505.5,4,273.1,137.2,274.4,4,127.5,581.6,1163.1,2728.5,11,5456.8,normal,0,1,0,2068.8,0,1,fire_riski
15,d,Nordmann,161.7,424.1,3,2.62,4,122.6,3666.4,7332.6,4,79.3,4103.7,8207.7,4,122.6,469.9,940.2,4,255.8,263.1,526.2,4,79.3,907.6,1815.3,3196.0,17,6392.4,normal,0,0,0,1860.0,0,0,yok
16,a,Nordmann,185.3,174.4,1,0.94,3,0.0,4596.8,9193.3,1,0.0,5081.2,10162.3,3,0.0,729.2,1457.5,3,101.1,467.4,934.8,1,0.0,1213.2,2426.4,3868.0,17,7735.8,kritik,1,0,1,1995.6,0,1,kritik_stok|belirsiz
17,a,Schnellware,145.8,378.0,1,2.59,4,155.9,3381.6,6763.3,4,116.6,3846.6,7693.0,4,155.9,385.8,771.8,4,295.1,174.5,349.2,4,116.6,850.8,1701.5,2995.7,11,5991.5,normal,0,0,0,2316.6,0,0,yok
18,d,Nordmann,157.3,126.6,2,0.8,1,0.0,3931.5,7862.8,1,0.0,4423.3,8846.8,1,0.0,667.8,1335.6,3,102.9,408.1,815.9,1,0.0,1159.8,2319.7,3263.5,17,6527.2,kritik,1,0,1,1723.8,0,1,kritik_stok|belirsiz
19,a,Schnellware,154.3,380.6,1,2.47,4,84.6,3599.7,7199.2,4,37.0,4039.1,8078.1,4,84.6,271.2,542.5,4,226.8,133.3,266.5,4,37.0,683.6,1367.4,3328.3,12,6656.7,normal,0,1,0,2504.4,0,1,fire_riski
20,d,Schnellware,187.0,207.0,3,1.11,3,0.0,4751.3,9502.6,1,0.0,5331.2,10662.3,4,0.0,195.9,392.3,11,134.2,53.9,107.8,1,0.0,740.4,1480.8,4555.1,12,9110.3,kritik,1,0,1,2962.2,0,1,kritik_stok|belirsiz
21,c,Rheinland,129.6,83.8,2,0.65,1,0.0,3258.2,6516.9,1,0.0,3762.2,7524.9,1,60.0,873.8,1747.7,1,172.2,607.3,1214.4,1,0.0,1317.9,2635.7,2444.6,8,4409.2,kritik,1,0,0,2148.6,0,1,kritik_stok
22,a,Schnellware,109.0,101.9,1,0.94,1,0.0,2680.9,5362.0,1,0.0,3022.7,6045.5,1,0.0,121.0,241.8,11,74.1,25.5,50.9,1,0.0,462.8,925.3,2560.1,12,5120.2,kritik,1,0,1,1776.6,0,1,kritik_stok|belirsiz
23,d,Nordmann,132.6,371.6,1,2.8,3,250.9,3174.0,6348.1,3,230.4,3572.3,7144.4,3,250.9,495.1,990.5,3,353.5,310.0,620.1,3,230.4,893.5,1786.8,2678.8,17,5357.6,yuksek,0,1,0,1557.6,0,1,fire_riski
24,a,Schnellware,225.6,428.6,1,1.9,3,0.0,5172.6,10345.2,3,0.0,5892.7,11785.4,4,0.0,256.8,513.8,4,204.4,70.9,141.8,4,0.0,940.5,1881.0,4915.7,12,9831.4,yuksek,0,1,0,3600.6,0,1,fire_riski
25,c,Nordmann,271.2,396.6,1,1.46,3,0.0,5900.4,11800.5,3,0.0,6792.4,13584.4,3,0.0,905.6,1811.1,3,170.9,445.5,890.9,3,0.0,1797.4,3595.0,4994.9,17,9989.4,yuksek,0,0,0,2691.6,0,0,yok
26,d,Schnellware,159.1,207.5,1,1.3,3,0.0,3777.6,7555.4,3,0.0,4359.5,8719.3,4,0.0,213.7,427.8,11,117.4,33.7,67.3,4,0.0,766.8,1533.4,3563.8,12,7127.6,yuksek,0,0,0,2562.0,0,0,yok
27,a,Schnellware,226.6,613.6,3,2.71,4,196.9,5050.8,10101.3,4,133.4,5695.6,11391.2,4,196.9,480.4,960.7,4,402.4,219.1,438.2,4,133.4,1116.2,2232.3,4570.3,11,9140.6,normal,0,0,0,3514.8,0,0,yok
28,a,Schnellware,123.6,159.5,1,1.29,3,88.5,2829.2,5658.0,3,70.4,3288.1,6576.4,4,88.5,209.0,417.8,11,199.2,37.0,74.0,4,70.4,668.0,1336.1,2620.2,12,5240.2,yuksek,0,1,0,1864.2,0,1,fire_riski
29,d,Schnellware,175.0,370.9,1,2.12,3,0.0,4377.7,8755.7,3,0.0,5047.6,10094.6,4,0.0,253.1,506.5,4,180.0,46.9,93.7,4,0.0,883.8,1767.7,4124.4,12,8249.2,yuksek,0,0,0,3052.8,0,0,yok
30,a,Nordmann,129.2,386.6,1,2.99,4,198.2,2314.3,4628.5,4,163.7,2745.3,5490.3,4,198.2,374.4,748.5,4,311.1,182.5,365.2,4,163.7,786.6,1573.4,1939.9,17,3880.0,normal,0,0,0,1048.8,0,0,yok
31,d,Schnellware,143.3,340.5,3,2.38,4,76.1,3201.0,6401.7,4,40.4,3572.2,7144.3,4,76.1,212.4,424.5,4,191.7,123.9,247.9,4,40.4,563.5,1126.8,2988.7,12,5977.2,normal,0,0,0,2114.4,0,0,yok
32,a,Schnellware,96.0,139.4,1,1.45,3,0.0,2366.5,4733.0,3,0.0,2704.4,5408.8,4,0.0,158.3,316.5,11,66.3,16.8,33.4,4,0.0,477.4,954.9,2208.2,12,4416.5,yuksek,0,0,0,1611.0,0,0,yok
33,a,Schnellware,206.7,206.1,1,1.0,1,0.0,4632.0,9264.2,1,0.0,5223.1,10446.1,1,0.0,199.2,398.4,11,124.4,45.9,91.8,1,0.0,790.1,1580.3,4432.9,12,8865.8,kritik,1,0,1,2988.0,0,1,kritik_stok|belirsiz
34,c,Schnellware,196.6,142.6,1,0.73,1,0.0,4702.6,9405.4,1,0.0,5210.3,10420.3,1,0.0,235.7,471.3,1,109.6,71.8,143.7,1,0.0,743.2,1486.2,4467.1,12,8934.1,kritik,1,0,0,3004.2,0,1,kritik_stok
35,d,Nordmann,229.4,688.0,1,3.0,4,178.0,5812.8,11625.4,4,85.3,6634.1,13268.4,4,178.0,790.9,1581.5,4,455.3,385.1,770.2,4,85.3,1612.2,3224.5,5021.9,17,10043.9,normal,0,0,0,2785.8,0,0,yok
36,a,Schnellware,230.2,659.6,1,2.87,4,188.7,5116.8,10233.2,4,134.1,5608.9,11218.3,4,188.7,372.6,745.5,4,361.8,246.6,493.1,4,134.1,832.9,1665.6,4743.8,12,9487.7,normal,0,1,0,3135.6,0,1,fire_riski
37,c,ExpressLog,172.3,358.4,2,2.08,4,56.8,3758.9,7517.8,4,4.3,4329.4,8658.8,4,56.8,273.3,546.8,0,100.0,0.0,0.0,4,4.3,843.9,1687.8,3485.3,22,6971.0,normal,0,0,0,1361.4,0,0,yok
38,d,Schnellware,143.0,104.4,1,0.73,1,0.0,3345.4,6690.9,1,0.0,3882.0,7763.7,1,0.0,257.1,514.2,1,110.7,47.4,94.7,1,0.0,793.5,1587.0,3088.3,12,6176.7,kritik,1,0,0,2217.6,0,1,kritik_stok
39,a,Rheinland,113.4,37.7,2,0.33,1,0.0,2762.4,5524.7,1,0.0,3192.4,6385.0,1,91.1,735.7,1471.6,1,234.7,550.4,1100.9,1,18.8,1093.8,2187.5,2117.6,8,3506.5,kritik,1,0,0,1800.0,0,1,kritik_stok
40,a,Schnellware,120.1,274.3,1,2.28,4,59.3,2473.6,4947.4,4,23.1,2858.3,5716.5,4,59.3,198.7,397.4,4,182.4,115.2,230.3,4,23.1,563.0,1126.0,2275.0,12,4550.0,normal,0,0,0,1578.6,0,0,yok
41,d,Schnellware,127.7,41.5,1,0.33,1,0.0,3463.6,6927.5,1,0.0,3993.4,7986.7,1,0.0,278.5,556.7,1,121.4,123.1,246.0,1,0.0,807.8,1615.9,3185.4,12,6370.8,kritik,1,0,0,2044.8,0,1,kritik_stok
42,a,Nordmann,247.3,741.8,1,3.0,4,265.9,5498.6,10997.5,4,206.3,6091.1,12182.2,4,265.9,689.0,1378.2,4,458.9,396.4,793.0,4,206.3,1281.4,2562.9,4809.8,17,9619.3,normal,0,0,0,2631.6,0,0,yok
43,d,ExpressLog,164.4,193.6,1,1.18,3,0.0,3697.2,7394.8,3,0.0,4177.2,8354.2,3,0.0,228.5,457.1,0,0.0,0.0,0.0,3,0.0,686.7,1373.8,3469.2,23,6937.7,yuksek,0,0,0,1430.4,0,0,yok
44,a,Nordmann,132.0,152.3,1,1.15,3,50.5,3136.7,6273.7,3,34.3,3486.5,6972.3,3,50.5,505.2,1010.3,3,143.0,330.6,661.4,3,34.3,854.4,1708.9,2631.6,17,5263.4,yuksek,0,0,0,1401.0,0,0,yok
45,d,Schnellware,129.4,234.4,1,1.81,3,0.0,3040.1,6080.0,3,0.0,3496.8,6993.3,4,0.0,152.6,305.2,4,114.5,37.3,74.4,4,0.0,585.3,1170.4,2887.4,12,5774.8,yuksek,0,0,0,2013.6,0,0,yok
46,c,Schnellware,128.4,335.9,3,2.62,4,108.7,2938.4,5877.0,4,68.0,3348.3,6696.2,4,108.7,273.6,547.0,4,233.7,112.4,225.0,4,68.0,680.0,1359.9,2665.0,11,5330.0,normal,0,0,0,2035.2,0,0,yok
47,a,Rheinland,173.2,156.5,2,0.9,3,10.3,4232.8,8465.3,1,0.0,4735.3,9470.7,3,55.5,1005.6,2011.2,3,199.9,748.3,1496.8,1,0.0,1462.9,2926.2,3272.4,8,6182.9,kritik,1,0,1,2815.2,0,1,kritik_stok|belirsiz
48,a,Schnellware,96.7,148.6,3,1.54,3,0.0,1981.3,3962.7,3,0.0,2263.1,4526.1,4,0.0,94.9,189.8,4,72.1,22.6,45.2,4,0.0,364.6,729.4,1886.6,12,3772.9,yuksek,0,0,0,1366.2,0,0,yok
49,d,Rheinland,176.5,181.7,2,1.03,1,0.0,4389.8,8779.5,1,0.0,4983.1,9966.0,1,0.8,1068.0,2135.8,3,137.7,753.0,1506.2,1,0.0,1660.2,3320.7,3322.7,8,6638.9,kritik,1,0,1,2938.8,0,1,kritik_stok|belirsiz
50,d,Rheinland,101.8,66.7,2,0.66,1,0.0,2545.0,5090.5,1,0.0,2923.8,5847.5,1,16.3,671.7,1343.2,1,98.9,471.2,942.3,1,0.0,1033.9,2067.7,1889.7,8,3649.5,kritik,1,0,0,1678.8,0,1,kritik_stok
