ds,yhat,yhat_lower,yhat_upper,promo,gercek
2015-06-20,4650.094420438184,3551.6417778068817,5757.635901597793,0,4097
2015-06-22,4096.086167569976,3089.922235934075,5185.8299780539255,0,3846
2015-06-23,3609.7125631775166,2533.0241161215863,4646.267274296597,0,3762
2015-06-24,3477.0347950157548,2455.1956327108974,4433.1744716019875,0,3346
2015-06-25,3342.9520186546,2361.1999481705657,4378.837674138092,0,3533
2015-06-26,3635.9624355974747,2606.273708029547,4657.816601189436,0,3317
2015-06-27,4515.547576864685,3488.939069465748,5509.259681220681,0,4019
2015-06-29,5250.217735995797,4215.473530936753,6279.452368870252,1,5197
2015-06-30,4772.389693820211,3723.1479115458915,5815.159852169654,1,5735
2015-07-01,4651.3418982284375,3610.954832888767,5701.345775503054,1,5223
2015-07-02,4531.724592153895,3536.980244482752,5520.831697349666,1,5558
2015-07-03,4841.689839499027,3808.2493952926143,5837.670281028282,1,4665
2015-07-04,4458.961781147641,3499.6188569162355,5501.376571946203,0,4797
2015-07-06,3954.3751360139013,2982.816744515094,5024.232632104716,0,4359
2015-07-07,3498.401784749869,2456.946823436565,4536.295923714787,0,3650
2015-07-08,3398.8933791403824,2359.6922563932326,4419.375702952747,0,3797
2015-07-09,3299.8341193581928,2252.862599079821,4393.4225193337625,0,3897
2015-07-10,3628.7187863754248,2532.9436315026355,4682.565756089287,0,3808
2015-07-11,4543.965247677806,3482.8314718001848,5517.567542292734,0,3530
2015-07-13,5344.948958221303,4326.22935030111,6376.094379002314,1,5054
2015-07-14,4895.62747979586,3881.2458091406133,5876.055394090088,1,5042
2015-07-15,4798.64731077075,3811.7108370307337,5888.831642797981,1,4767
2015-07-16,4697.7707148856425,3757.82607360012,5677.947098022334,1,4427
2015-07-17,5020.389738878131,4056.6468578065264,6055.03926787687,1,4852
2015-07-18,4643.6221084027375,3581.3622165099177,5707.371645137194,0,4406
2015-07-20,4129.343621672733,3074.8143815267895,5136.845268903561,0,4395
2015-07-21,3657.4435505529,2626.758042539092,4674.028595055995,0,3558
2015-07-22,3534.7836060054547,2595.7010922596014,4520.034722776724,0,3464
2015-07-23,3405.73154816252,2491.8325818313247,4413.703265184764,0,3769
2015-07-24,3698.368850760495,2707.17997350915,4638.889885914763,0,3706
2015-07-25,4571.890941823682,3544.581563759349,5565.86517960874,0,4364
2015-07-27,5480.916524556938,4539.0603088373755,6554.3853811558965,1,6102
2015-07-28,4979.712319145457,3984.739362151144,5976.547085968007,1,5011
2015-07-29,4829.955297829444,3795.739847801778,5872.484516372911,1,4782
2015-07-30,4676.7732085406815,3615.699755478497,5626.121040669757,1,5020
2015-07-31,4948.940859677144,3937.460892188597,5985.789676360217,1,5263
