magaza,tarih,h,siparis,tedarikci,lead_gun,varis_tarihi,tutar_eur,onay_tekil,tedarikci_gun_tutar_eur,onay_zincir,onay_gerekli
1114,2015-07-04,1,908.8,Rheinland,3,2015-07-07,5452.8,1,316365.6,0,1
251,2015-07-04,1,867.0,Schnellware,2,2015-07-06,5202.0,1,681537.0,1,1
698,2015-07-04,1,790.9,Schnellware,2,2015-07-06,4745.4,1,681537.0,1,1
383,2015-07-04,1,725.3,Rheinland,3,2015-07-07,4351.8,1,316365.6,0,1
733,2015-07-04,1,711.9,Rheinland,3,2015-07-07,4271.4,1,316365.6,0,1
546,2015-07-04,1,676.3,Schnellware,2,2015-07-06,4057.8,1,681537.0,1,1
211,2015-07-04,1,622.4,Schnellware,2,2015-07-06,3734.4,0,681537.0,1,1
1033,2015-07-04,1,606.3,Schnellware,2,2015-07-06,3637.8,0,681537.0,1,1
595,2015-07-04,1,597.8,Rheinland,3,2015-07-07,3586.8,0,316365.6,0,0
380,2015-07-04,1,587.8,Schnellware,2,2015-07-06,3526.8,0,681537.0,1,1
259,2015-07-04,1,585.7,Rheinland,3,2015-07-07,3514.2,0,316365.6,0,0
544,2015-07-04,1,584.8,Rheinland,3,2015-07-07,3508.8,0,316365.6,0,0
84,2015-07-04,1,584.6,Schnellware,2,2015-07-06,3507.6,0,681537.0,1,1
974,2015-07-04,1,571.5,Schnellware,2,2015-07-06,3429.0,0,681537.0,1,1
467,2015-07-04,1,553.2,Rheinland,3,2015-07-07,3319.2,0,316365.6,0,0
125,2015-07-04,1,534.2,Schnellware,2,2015-07-06,3205.2,0,681537.0,1,1
1075,2015-07-04,1,533.2,Schnellware,2,2015-07-06,3199.2,0,681537.0,1,1
335,2015-07-04,1,531.8,Schnellware,2,2015-07-06,3190.8,0,681537.0,1,1
820,2015-07-04,1,529.2,Schnellware,2,2015-07-06,3175.2,0,681537.0,1,1
768,2015-07-04,1,524.9,Rheinland,3,2015-07-07,3149.4,0,316365.6,0,0
817,2015-07-04,1,505.6,Nordmann,5,2015-07-09,3033.6,0,143394.6,0,0
470,2015-07-04,1,503.1,Schnellware,2,2015-07-06,3018.6,0,681537.0,1,1
479,2015-07-04,1,499.9,Schnellware,2,2015-07-06,2999.4,0,681537.0,1,1
539,2015-07-04,1,498.0,Schnellware,2,2015-07-06,2988.0,0,681537.0,1,1
788,2015-07-04,1,494.6,Schnellware,2,2015-07-06,2967.6,0,681537.0,1,1
207,2015-07-04,1,482.4,Schnellware,2,2015-07-06,2894.4,0,681537.0,1,1
1018,2015-07-04,1,480.6,Schnellware,2,2015-07-06,2883.6,0,681537.0,1,1
342,2015-07-04,1,479.3,Rheinland,3,2015-07-07,2875.8,0,316365.6,0,0
532,2015-07-04,1,475.9,Rheinland,3,2015-07-07,2855.4,0,316365.6,0,0
1097,2015-07-04,1,469.7,Rheinland,3,2015-07-07,2818.2,0,316365.6,0,0
