magaza,magaza_tipi,urun_yelpazesi,tipik_gunluk_talep_adet,stok_toplam_adet,yas0_adet,yas1_adet,yas2_adet,en_eski_yas,kalan_raf_omru_gun,stok_gun_karsiligi,tedarikci,profil,referans_gun
1,c,a,117.0,339.0,185.5,100.2,53.3,2,1,2.9,Nordmann,normal,2015-07-03
2,a,a,117.2,23.4,0.0,0.0,23.4,2,1,0.2,Schnellware,normal,2015-07-03
3,a,a,164.8,439.5,439.5,0.0,0.0,0,3,2.67,Schnellware,normal,2015-07-03
4,c,c,235.8,707.4,616.2,0.0,91.2,2,1,3.0,Schnellware,normal,2015-07-03
5,a,a,107.8,21.6,0.0,0.0,21.6,2,1,0.2,Schnellware,normal,2015-07-03
6,a,a,133.8,55.9,49.1,0.0,6.8,2,1,0.42,Schnellware,normal,2015-07-03
7,a,c,210.6,299.3,299.3,0.0,0.0,0,3,1.42,Schnellware,normal,2015-07-03
8,a,a,128.2,168.0,140.3,0.0,27.7,2,1,1.31,Schnellware,normal,2015-07-03
9,a,c,157.6,293.1,0.0,149.1,144.0,2,1,1.86,Nordmann,yavas_devir,2015-07-03
10,a,a,136.0,103.5,93.4,0.0,10.1,2,1,0.76,Schnellware,normal,2015-07-03
11,a,c,195.4,238.1,0.0,238.1,0.0,1,2,1.22,Rheinland,normal,2015-07-03
12,a,c,183.2,417.5,341.0,0.0,76.5,2,1,2.28,Nordmann,normal,2015-07-03
13,d,a,119.5,292.0,258.7,0.0,33.3,2,1,2.44,Schnellware,normal,2015-07-03
14,a,a,132.7,398.1,273.8,0.0,124.3,2,1,3.0,Schnellware,yavas_devir,2015-07-03
15,d,c,161.7,424.1,424.1,0.0,0.0,0,3,2.62,Nordmann,normal,2015-07-03
16,a,c,185.3,174.4,106.3,44.6,23.5,2,1,0.94,Nordmann,normal,2015-07-03
17,a,a,145.8,378.0,323.9,0.0,54.1,2,1,2.59,Schnellware,normal,2015-07-03
18,d,c,157.3,126.6,78.1,48.5,0.0,1,2,0.8,Nordmann,yavas_devir,2015-07-03
19,a,c,154.3,380.6,315.2,0.0,65.4,2,1,2.47,Schnellware,normal,2015-07-03
20,d,a,187.0,207.0,207.0,0.0,0.0,0,3,1.11,Schnellware,normal,2015-07-03
21,c,c,129.6,83.8,0.0,83.8,0.0,1,2,0.65,Rheinland,normal,2015-07-03
22,a,a,109.0,101.9,89.9,0.0,12.0,2,1,0.94,Schnellware,normal,2015-07-03
23,d,a,132.6,371.6,0.0,214.2,157.4,2,1,2.8,Nordmann,yavas_devir,2015-07-03
24,a,c,225.6,428.6,307.5,0.0,121.1,2,1,1.9,Schnellware,yavas_devir,2015-07-03
25,c,a,271.2,396.6,262.5,90.9,43.2,2,1,1.46,Nordmann,normal,2015-07-03
26,d,a,159.1,207.5,180.1,0.0,27.4,2,1,1.3,Schnellware,normal,2015-07-03
27,a,a,226.6,613.6,613.6,0.0,0.0,0,3,2.71,Schnellware,normal,2015-07-03
28,a,a,123.6,159.5,0.0,0.0,159.5,2,1,1.29,Schnellware,yavas_devir,2015-07-03
