tarih,gun,promo,talep_gercek,acilis_stok,satilan,stoksuz,fire,kapanis_stok,en_eski_yas,kalan_raf_omru,siparis,birim_alis
2015-06-20,Cmt,0,102.4,232.5,102.4,0.0,0,130.1,0,3,0.0,0.0
2015-06-22,Pzt,0,96.2,130.1,96.2,0.0,0,33.9,1,2,200.0,6.72
2015-06-23,Sal,0,94.1,233.9,94.1,0.0,0,139.9,0,3,0.0,0.0
2015-06-24,Car,0,83.7,139.9,83.7,0.0,0,56.2,1,2,200.0,6.72
2015-06-25,Per,0,88.3,256.2,88.3,0.0,0,167.9,0,3,0.0,0.0
2015-06-26,Cum,0,82.9,167.9,82.9,0.0,0,85.0,1,2,200.0,6.72
2015-06-27,Cmt,0,100.5,285.0,100.5,0.0,0,184.5,0,3,0.0,0.0
2015-06-29,Pzt,1,129.9,184.5,129.9,0.0,0,54.6,1,2,200.0,6.72
2015-06-30,Sal,1,143.4,254.6,143.4,0.0,0,111.2,0,3,0.0,0.0
2015-07-01,Car,1,130.6,111.2,111.2,19.4,0,0.0,0,3,200.0,6.72
2015-07-02,Per,1,139.0,200.0,139.0,0.0,0,61.0,0,3,200.0,6.72
2015-07-03,Cum,1,116.6,261.0,116.6,0.0,0,144.4,0,3,0.0,0.0
2015-07-04,Cmt,0,119.9,144.4,119.9,0.0,0,24.5,1,2,200.0,6.72
2015-07-06,Pzt,0,109.0,224.5,109.0,0.0,0,115.5,0,3,0.0,0.0
2015-07-07,Sal,0,91.2,115.5,91.2,0.0,0,24.3,1,2,200.0,6.72
2015-07-08,Car,0,94.9,224.3,94.9,0.0,0,129.3,0,3,0.0,0.0
2015-07-09,Per,0,97.4,129.3,97.4,0.0,0,31.9,1,2,200.0,6.72
2015-07-10,Cum,0,95.2,231.9,95.2,0.0,0,136.7,0,3,0.0,0.0
2015-07-11,Cmt,0,88.2,136.7,88.2,0.0,0,48.5,1,2,200.0,6.72
2015-07-13,Pzt,1,126.4,248.5,126.4,0.0,0,122.1,0,3,0.0,0.0
2015-07-14,Sal,1,126.1,122.1,122.1,3.9,0,0.0,0,3,200.0,6.72
2015-07-15,Car,1,119.2,200.0,119.2,0.0,0,80.8,0,3,200.0,6.72
2015-07-16,Per,1,110.7,280.8,110.7,0.0,0,170.1,0,3,0.0,0.0
2015-07-17,Cum,1,121.3,170.1,121.3,0.0,0,48.8,1,2,200.0,6.72
2015-07-18,Cmt,0,110.2,248.8,110.2,0.0,0,138.7,0,3,0.0,0.0
2015-07-20,Pzt,0,109.9,138.7,109.9,0.0,0,28.8,1,2,200.0,6.72
2015-07-21,Sal,0,89.0,228.8,89.0,0.0,0,139.9,0,3,0.0,0.0
2015-07-22,Car,0,86.6,139.9,86.6,0.0,0,53.3,1,2,200.0,6.72
2015-07-23,Per,0,94.2,253.3,94.2,0.0,0,159.0,0,3,0.0,0.0
2015-07-24,Cum,0,92.7,159.0,92.7,0.0,0,66.4,1,2,200.0,6.72
2015-07-25,Cmt,0,109.1,266.4,109.1,0.0,0,157.3,0,3,0.0,0.0
2015-07-27,Pzt,1,152.6,157.3,152.6,0.0,0,4.7,1,2,200.0,6.72
2015-07-28,Sal,1,125.3,204.7,125.3,0.0,0,79.5,0,3,200.0,6.72
2015-07-29,Car,1,119.6,279.5,119.6,0.0,0,159.9,0,3,0.0,0.0
2015-07-30,Per,1,125.5,159.9,125.5,0.0,0,34.4,1,2,200.0,6.72
2015-07-31,Cum,1,131.6,234.4,131.6,0.0,0,102.8,0,3,0.0,0.0
