tarih,gun,promo,talep_gercek,acilis_stok,satilan,stoksuz,fire,kapanis_stok,en_eski_yas,kalan_raf_omru,siparis,birim_alis
2015-06-20,Cmt,0,102.4,232.5,102.4,0.0,0,130.1,0,3,0.0,0.0
2015-06-22,Pzt,0,96.2,130.1,96.2,0.0,0,33.9,1,2,200.0,6.72
2015-06-23,Sal,0,94.1,233.9,94.1,0.0,0,139.9,0,3,0.0,0.0
2015-06-24,Car,0,83.7,139.9,83.7,0.0,0,56.2,1,2,200.0,6.72
2015-06-25,Per,0,88.3,256.2,88.3,0.0,0,167.9,0,3,0.0,0.0
2015-06-26,Cum,0,82.9,167.9,82.9,0.0,0,85.0,1,2,200.0,6.72
2015-06-27,Cmt,0,100.5,285.0,100.5,0.0,0,184.5,0,3,0.0,0.0
2015-06-29,Pzt,1,129.9,184.5,129.9,0.0,0,54.6,1,2,200.0,6.72
2015-06-30,Sal,1,143.4,254.6,143.4,0.0,0,111.2,0,3,200.0,6.72
2015-07-01,Car,1,130.6,311.2,130.6,0.0,0,180.6,0,3,0.0,0.0
2015-07-02,Per,1,139.0,180.6,139.0,0.0,0,41.7,1,2,200.0,6.72
2015-07-03,Cum,1,116.6,241.7,116.6,0.0,0,125.1,0,3,0.0,0.0
2015-07-04,Cmt,0,119.9,125.1,119.9,0.0,0,5.1,1,2,200.0,6.72
2015-07-06,Pzt,0,109.0,205.1,109.0,0.0,0,96.2,0,3,0.0,0.0
2015-07-07,Sal,0,91.2,96.2,91.2,0.0,0,4.9,1,2,200.0,6.72
2015-07-08,Car,0,94.9,204.9,94.9,0.0,0,110.0,0,3,0.0,0.0
2015-07-09,Per,0,97.4,110.0,97.4,0.0,0,12.6,1,2,200.0,6.72
2015-07-10,Cum,0,95.2,212.6,95.2,0.0,0,117.4,0,3,0.0,0.0
2015-07-11,Cmt,0,88.2,117.4,88.2,0.0,0,29.1,1,2,200.0,6.72
2015-07-13,Pzt,1,126.4,229.1,126.4,0.0,0,102.8,0,3,200.0,6.72
2015-07-14,Sal,1,126.1,302.8,126.1,0.0,0,176.7,0,3,0.0,0.0
2015-07-15,Car,1,119.2,176.7,119.2,0.0,0,57.5,1,2,200.0,6.72
2015-07-16,Per,1,110.7,257.5,110.7,0.0,0,146.9,0,3,0.0,0.0
2015-07-17,Cum,1,121.3,146.9,121.3,0.0,0,25.6,1,2,200.0,6.72
2015-07-18,Cmt,0,110.2,225.6,110.2,0.0,0,115.4,0,3,0.0,0.0
2015-07-20,Pzt,0,109.9,115.4,109.9,0.0,0,5.5,1,2,200.0,6.72
2015-07-21,Sal,0,89.0,205.5,89.0,0.0,0,116.6,0,3,0.0,0.0
2015-07-22,Car,0,86.6,116.6,86.6,0.0,0,30.0,1,2,200.0,6.72
2015-07-23,Per,0,94.2,230.0,94.2,0.0,0,135.8,0,3,0.0,0.0
2015-07-24,Cum,0,92.7,135.8,92.7,0.0,0,43.1,1,2,200.0,6.72
2015-07-25,Cmt,0,109.1,243.1,109.1,0.0,0,134.0,0,3,200.0,6.72
2015-07-27,Pzt,1,152.6,334.0,152.6,0.0,0,181.5,0,3,0.0,0.0
2015-07-28,Sal,1,125.3,181.5,125.3,0.0,0,56.2,1,2,200.0,6.72
2015-07-29,Car,1,119.6,256.2,119.6,0.0,0,136.6,0,3,0.0,0.0
2015-07-30,Per,1,125.5,136.6,125.5,0.0,0,11.1,1,2,200.0,6.72
2015-07-31,Cum,1,131.6,211.1,131.6,0.0,0,79.6,0,3,0.0,0.0
