tarih,gun,promo,talep_gercek,acilis_stok,satilan,stoksuz,fire,kapanis_stok,en_eski_yas,kalan_raf_omru,siparis,birim_alis
2015-06-20,Cmt,0,102.4,232.5,102.4,0.0,0.0,130.1,0,3,1500.0,5.58
2015-06-22,Pzt,0,96.2,130.1,96.2,0.0,0.0,33.9,1,2,0.0,0.0
2015-06-23,Sal,0,94.1,33.9,33.9,60.1,0.0,0.0,0,3,0.0,0.0
2015-06-24,Car,0,83.7,0.0,0.0,83.7,0.0,0.0,0,3,0.0,0.0
2015-06-25,Per,0,88.3,0.0,0.0,88.3,0.0,0.0,0,3,0.0,0.0
2015-06-26,Cum,0,82.9,1500.0,82.9,0.0,0.0,1417.1,0,3,0.0,0.0
2015-06-27,Cmt,0,100.5,1417.1,100.5,0.0,0.0,1316.6,1,2,0.0,0.0
2015-06-29,Pzt,1,129.9,1316.6,129.9,0.0,0.0,1186.7,2,1,0.0,0.0
2015-06-30,Sal,1,143.4,1186.7,143.4,0.0,1043.3,0.0,0,3,1500.0,5.58
2015-07-01,Car,1,130.6,0.0,0.0,130.6,0.0,0.0,0,3,0.0,0.0
2015-07-02,Per,1,139.0,0.0,0.0,139.0,0.0,0.0,0,3,0.0,0.0
2015-07-03,Cum,1,116.6,0.0,0.0,116.6,0.0,0.0,0,3,0.0,0.0
2015-07-04,Cmt,0,119.9,0.0,0.0,119.9,0.0,0.0,0,3,0.0,0.0
2015-07-06,Pzt,0,109.0,1500.0,109.0,0.0,0.0,1391.0,0,3,0.0,0.0
2015-07-07,Sal,0,91.2,1391.0,91.2,0.0,0.0,1299.8,1,2,0.0,0.0
2015-07-08,Car,0,94.9,1299.8,94.9,0.0,0.0,1204.9,2,1,0.0,0.0
2015-07-09,Per,0,97.4,1204.9,97.4,0.0,1107.4,0.0,0,3,1500.0,5.58
2015-07-10,Cum,0,95.2,0.0,0.0,95.2,0.0,0.0,0,3,0.0,0.0
2015-07-11,Cmt,0,88.2,0.0,0.0,88.2,0.0,0.0,0,3,0.0,0.0
2015-07-13,Pzt,1,126.4,0.0,0.0,126.4,0.0,0.0,0,3,0.0,0.0
2015-07-14,Sal,1,126.1,0.0,0.0,126.1,0.0,0.0,0,3,0.0,0.0
2015-07-15,Car,1,119.2,1500.0,119.2,0.0,0.0,1380.8,0,3,0.0,0.0
2015-07-16,Per,1,110.7,1380.8,110.7,0.0,0.0,1270.2,1,2,0.0,0.0
2015-07-17,Cum,1,121.3,1270.2,121.3,0.0,0.0,1148.9,2,1,0.0,0.0
2015-07-18,Cmt,0,110.2,1148.9,110.2,0.0,1038.7,0.0,0,3,1500.0,5.58
2015-07-20,Pzt,0,109.9,0.0,0.0,109.9,0.0,0.0,0,3,0.0,0.0
2015-07-21,Sal,0,89.0,0.0,0.0,89.0,0.0,0.0,0,3,0.0,0.0
2015-07-22,Car,0,86.6,0.0,0.0,86.6,0.0,0.0,0,3,0.0,0.0
2015-07-23,Per,0,94.2,0.0,0.0,94.2,0.0,0.0,0,3,0.0,0.0
2015-07-24,Cum,0,92.7,1500.0,92.7,0.0,0.0,1407.3,0,3,0.0,0.0
2015-07-25,Cmt,0,109.1,1407.3,109.1,0.0,0.0,1298.2,1,2,0.0,0.0
2015-07-27,Pzt,1,152.6,1298.2,152.6,0.0,0.0,1145.7,2,1,0.0,0.0
2015-07-28,Sal,1,125.3,1145.7,125.3,0.0,1020.4,0.0,0,3,0.0,0.0
2015-07-29,Car,1,119.6,0.0,0.0,119.6,0.0,0.0,0,3,0.0,0.0
2015-07-30,Per,1,125.5,0.0,0.0,125.5,0.0,0.0,0,3,0.0,0.0
2015-07-31,Cum,1,131.6,0.0,0.0,131.6,0.0,0.0,0,3,0.0,0.0
