tarih,gun,promo,talep_gercek,acilis_stok,satilan,stoksuz,fire,kapanis_stok,en_eski_yas,kalan_raf_omru,siparis,birim_alis
2015-06-20,Cmt,0,102.4,232.5,102.4,0.0,0.0,130.1,0,3,0.0,0.0
2015-06-22,Pzt,0,96.2,130.1,96.2,0.0,0.0,33.9,1,2,1000.0,6.0
2015-06-23,Sal,0,94.1,33.9,33.9,60.1,0.0,0.0,0,3,0.0,0.0
2015-06-24,Car,0,83.7,0.0,0.0,83.7,0.0,0.0,0,3,0.0,0.0
2015-06-25,Per,0,88.3,1000.0,88.3,0.0,0.0,911.7,0,3,0.0,0.0
2015-06-26,Cum,0,82.9,911.7,82.9,0.0,0.0,828.8,1,2,0.0,0.0
2015-06-27,Cmt,0,100.5,828.8,100.5,0.0,0.0,728.3,2,1,0.0,0.0
2015-06-29,Pzt,1,129.9,728.3,129.9,0.0,598.3,0.0,0,3,0.0,0.0
2015-06-30,Sal,1,143.4,0.0,0.0,143.4,0.0,0.0,0,3,500.0,5.64
2015-07-01,Car,1,130.6,0.0,0.0,130.6,0.0,0.0,0,3,0.0,0.0
2015-07-02,Per,1,139.0,500.0,139.0,0.0,0.0,361.0,0,3,0.0,0.0
2015-07-03,Cum,1,116.6,361.0,116.6,0.0,0.0,244.4,1,2,0.0,0.0
2015-07-04,Cmt,0,119.9,244.4,119.9,0.0,0.0,124.5,2,1,0.0,0.0
2015-07-06,Pzt,0,109.0,124.5,109.0,0.0,15.5,0.0,0,3,1000.0,6.0
2015-07-07,Sal,0,91.2,0.0,0.0,91.2,0.0,0.0,0,3,0.0,0.0
2015-07-08,Car,0,94.9,0.0,0.0,94.9,0.0,0.0,0,3,0.0,0.0
2015-07-09,Per,0,97.4,1000.0,97.4,0.0,0.0,902.6,0,3,0.0,0.0
2015-07-10,Cum,0,95.2,902.6,95.2,0.0,0.0,807.4,1,2,0.0,0.0
2015-07-11,Cmt,0,88.2,807.4,88.2,0.0,0.0,719.1,2,1,0.0,0.0
2015-07-13,Pzt,1,126.4,719.1,126.4,0.0,592.8,0.0,0,3,0.0,0.0
2015-07-14,Sal,1,126.1,0.0,0.0,126.1,0.0,0.0,0,3,500.0,5.64
2015-07-15,Car,1,119.2,0.0,0.0,119.2,0.0,0.0,0,3,0.0,0.0
2015-07-16,Per,1,110.7,500.0,110.7,0.0,0.0,389.3,0,3,0.0,0.0
2015-07-17,Cum,1,121.3,389.3,121.3,0.0,0.0,268.0,1,2,0.0,0.0
2015-07-18,Cmt,0,110.2,268.0,110.2,0.0,0.0,157.9,2,1,0.0,0.0
2015-07-20,Pzt,0,109.9,157.9,109.9,0.0,48.0,0.0,0,3,1000.0,6.0
2015-07-21,Sal,0,89.0,0.0,0.0,89.0,0.0,0.0,0,3,0.0,0.0
2015-07-22,Car,0,86.6,0.0,0.0,86.6,0.0,0.0,0,3,0.0,0.0
2015-07-23,Per,0,94.2,1000.0,94.2,0.0,0.0,905.8,0,3,0.0,0.0
2015-07-24,Cum,0,92.7,905.8,92.7,0.0,0.0,813.1,1,2,0.0,0.0
2015-07-25,Cmt,0,109.1,813.1,109.1,0.0,0.0,704.0,2,1,0.0,0.0
2015-07-27,Pzt,1,152.6,704.0,152.6,0.0,551.5,0.0,0,3,0.0,0.0
2015-07-28,Sal,1,125.3,0.0,0.0,125.3,0.0,0.0,0,3,500.0,5.64
2015-07-29,Car,1,119.6,0.0,0.0,119.6,0.0,0.0,0,3,0.0,0.0
2015-07-30,Per,1,125.5,500.0,125.5,0.0,0.0,374.5,0,3,0.0,0.0
2015-07-31,Cum,1,131.6,374.5,131.6,0.0,0.0,242.9,1,2,0.0,0.0
