tarih,gun,promo,talep_gercek,acilis_stok,satilan,stoksuz,fire,kapanis_stok,en_eski_yas,kalan_raf_omru,siparis,birim_alis
2015-06-20,Cmt,0,102.4,232.5,102.4,0.0,0.0,130.1,0,3,0.0,0.0
2015-06-22,Pzt,0,96.2,130.1,96.2,0.0,0.0,33.9,1,2,500.0,6.0
2015-06-23,Sal,0,94.1,33.9,33.9,60.1,0.0,0.0,0,3,0.0,0.0
2015-06-24,Car,0,83.7,500.0,83.7,0.0,0.0,416.4,0,3,0.0,0.0
2015-06-25,Per,0,88.3,416.4,88.3,0.0,0.0,328.0,1,2,0.0,0.0
2015-06-26,Cum,0,82.9,328.0,82.9,0.0,0.0,245.1,2,1,0.0,0.0
2015-06-27,Cmt,0,100.5,245.1,100.5,0.0,144.6,0.0,0,3,0.0,0.0
2015-06-29,Pzt,1,129.9,0.0,0.0,129.9,0.0,0.0,0,3,500.0,6.0
2015-06-30,Sal,1,143.4,0.0,0.0,143.4,0.0,0.0,0,3,0.0,0.0
2015-07-01,Car,1,130.6,500.0,130.6,0.0,0.0,369.4,0,3,0.0,0.0
2015-07-02,Per,1,139.0,369.4,139.0,0.0,0.0,230.5,1,2,0.0,0.0
2015-07-03,Cum,1,116.6,230.5,116.6,0.0,0.0,113.8,2,1,500.0,6.0
2015-07-04,Cmt,0,119.9,113.8,113.8,6.1,0.0,0.0,0,3,0.0,0.0
2015-07-06,Pzt,0,109.0,500.0,109.0,0.0,0.0,391.0,0,3,0.0,0.0
2015-07-07,Sal,0,91.2,391.0,91.2,0.0,0.0,299.8,1,2,0.0,0.0
2015-07-08,Car,0,94.9,299.8,94.9,0.0,0.0,204.8,2,1,0.0,0.0
2015-07-09,Per,0,97.4,204.8,97.4,0.0,107.4,0.0,0,3,0.0,0.0
2015-07-10,Cum,0,95.2,0.0,0.0,95.2,0.0,0.0,0,3,500.0,6.0
2015-07-11,Cmt,0,88.2,0.0,0.0,88.2,0.0,0.0,0,3,0.0,0.0
2015-07-13,Pzt,1,126.4,500.0,126.4,0.0,0.0,373.6,0,3,0.0,0.0
2015-07-14,Sal,1,126.1,373.6,126.1,0.0,0.0,247.6,1,2,0.0,0.0
2015-07-15,Car,1,119.2,247.6,119.2,0.0,0.0,128.4,2,1,500.0,6.0
2015-07-16,Per,1,110.7,128.4,110.7,0.0,17.7,0.0,0,3,0.0,0.0
2015-07-17,Cum,1,121.3,500.0,121.3,0.0,0.0,378.7,0,3,0.0,0.0
2015-07-18,Cmt,0,110.2,378.7,110.2,0.0,0.0,268.5,1,2,0.0,0.0
2015-07-20,Pzt,0,109.9,268.5,109.9,0.0,0.0,158.7,2,1,500.0,6.0
2015-07-21,Sal,0,89.0,158.7,89.0,0.0,69.7,0.0,0,3,0.0,0.0
2015-07-22,Car,0,86.6,500.0,86.6,0.0,0.0,413.4,0,3,0.0,0.0
2015-07-23,Per,0,94.2,413.4,94.2,0.0,0.0,319.2,1,2,0.0,0.0
2015-07-24,Cum,0,92.7,319.2,92.7,0.0,0.0,226.5,2,1,500.0,6.0
2015-07-25,Cmt,0,109.1,226.5,109.1,0.0,117.4,0.0,0,3,0.0,0.0
2015-07-27,Pzt,1,152.6,500.0,152.6,0.0,0.0,347.4,0,3,0.0,0.0
2015-07-28,Sal,1,125.3,347.4,125.3,0.0,0.0,222.2,1,2,0.0,0.0
2015-07-29,Car,1,119.6,222.2,119.6,0.0,0.0,102.6,2,1,500.0,6.0
2015-07-30,Per,1,125.5,102.6,102.6,22.9,0.0,0.0,0,3,0.0,0.0
2015-07-31,Cum,1,131.6,500.0,131.6,0.0,0.0,368.4,0,3,0.0,0.0
