tarih,gun,talep_tahmin,talep_gercek,acilis_stok,satilan,stoksuz,fire,kapanis_stok,hedef_stok,siparis
2015-06-20,Cmt,116.3,102.4,232.5,102.4,0.0,0,130.1,0.0,0.0
2015-06-22,Pzt,102.4,96.2,130.1,96.2,0.0,0,33.9,155.7,500.0
2015-06-23,Sal,90.2,94.1,33.9,33.9,60.1,0,0.0,0.0,0.0
2015-06-24,Car,86.9,83.7,500.0,83.7,0.0,0,416.4,188.8,0.0
2015-06-25,Per,83.6,88.3,416.4,88.3,0.0,0,328.0,0.0,0.0
2015-06-26,Cum,90.9,82.9,328.0,82.9,0.0,0,245.1,235.8,0.0
2015-06-27,Cmt,112.9,100.5,245.1,100.5,0.0,0,144.6,0.0,0.0
2015-06-29,Pzt,131.3,129.9,144.6,129.9,0.0,0,14.7,214.1,500.0
2015-06-30,Sal,119.3,143.4,14.7,14.7,128.7,0,0.0,0.0,0.0
2015-07-01,Car,116.3,130.6,500.0,130.6,0.0,0,369.4,217.2,0.0
2015-07-02,Per,113.3,139.0,369.4,139.0,0.0,0,230.5,0.0,0.0
2015-07-03,Cum,121.0,116.6,230.5,116.6,0.0,0,113.8,171.4,500.0
2015-07-04,Cmt,111.5,119.9,113.8,113.8,6.1,0,0.0,0.0,0.0
2015-07-06,Pzt,98.9,109.0,500.0,109.0,0.0,0,391.0,152.9,0.0
2015-07-07,Sal,87.5,91.2,391.0,91.2,0.0,0,299.8,0.0,0.0
2015-07-08,Car,85.0,94.9,299.8,94.9,0.0,0,204.8,189.6,0.0
2015-07-09,Per,82.5,97.4,204.8,97.4,0.0,0,107.4,0.0,0.0
2015-07-10,Cum,90.7,95.2,107.4,95.2,0.0,0,12.2,240.9,500.0
2015-07-11,Cmt,113.6,88.2,12.2,12.2,76.0,0,0.0,0.0,0.0
2015-07-13,Pzt,133.6,126.4,500.0,126.4,0.0,0,373.6,222.0,0.0
2015-07-14,Sal,122.4,126.1,373.6,126.1,0.0,0,247.6,0.0,0.0
2015-07-15,Car,120.0,119.2,247.6,119.2,0.0,0,128.4,226.8,500.0
2015-07-16,Per,117.4,110.7,128.4,110.7,0.0,0,17.7,0.0,0.0
2015-07-17,Cum,125.5,121.3,517.8,121.3,0.0,0,396.4,180.2,0.0
2015-07-18,Cmt,116.1,110.2,396.4,110.2,0.0,0,286.3,0.0,0.0
2015-07-20,Pzt,103.2,109.9,286.3,109.9,0.0,0,176.4,158.8,0.0
2015-07-21,Sal,91.4,89.0,176.4,89.0,0.0,0,87.5,0.0,0.0
2015-07-22,Car,88.4,86.6,87.5,86.6,0.0,0,0.9,191.6,500.0
2015-07-23,Per,85.1,94.2,0.9,0.9,93.4,0,0.0,0.0,0.0
2015-07-24,Cum,92.5,92.7,500.0,92.7,0.0,0,407.4,246.9,0.0
2015-07-25,Cmt,114.3,109.1,407.4,109.1,0.0,0,298.2,0.0,0.0
2015-07-27,Pzt,137.0,152.6,298.2,152.6,0.0,0,145.7,222.8,500.0
2015-07-28,Sal,124.5,125.3,145.7,125.3,0.0,0,20.4,0.0,0.0
2015-07-29,Car,120.7,119.6,520.4,119.6,0.0,0,400.9,113.0,0.0
2015-07-30,Per,116.9,125.5,400.9,125.5,0.0,0,275.4,0.0,0.0
2015-07-31,Cum,123.7,131.6,275.4,131.6,0.0,0,143.8,0.0,0.0
