tarih,talep_tahmin,talep_gercek,acilis_stok,satilan,stoksuz,fire,kapanis_stok,hedef_stok,siparis
2015-06-20,116.3,102.4,116.3,102.4,0.0,0,13.8,177.8,163.9
2015-06-22,102.4,96.2,13.8,13.8,82.3,0,0.0,162.1,0.0
2015-06-23,90.2,94.1,163.9,94.1,0.0,0,69.9,155.7,85.8
2015-06-24,86.9,83.7,69.9,69.9,13.8,0,0.0,159.5,73.7
2015-06-25,83.6,88.3,85.8,85.8,2.5,0,0.0,188.8,115.1
2015-06-26,90.9,82.9,73.7,73.7,9.2,0,0.0,229.5,114.4
2015-06-27,112.9,100.5,115.1,100.5,0.0,0,14.6,235.8,106.8
2015-06-29,131.3,129.9,129.0,129.0,0.9,0,0.0,220.3,113.5
2015-06-30,119.3,143.4,106.8,106.8,36.6,0,0.0,214.1,100.6
2015-07-01,116.3,130.6,113.5,113.5,17.1,0,0.0,219.1,118.5
2015-07-02,113.3,139.0,100.6,100.6,38.4,0,0.0,217.2,98.7
2015-07-03,121.0,116.6,118.5,116.6,0.0,0,1.9,195.1,94.5
2015-07-04,111.5,119.9,100.6,100.6,19.3,0,0.0,171.4,76.9
2015-07-06,98.9,109.0,94.5,94.5,14.5,0,0.0,157.7,80.8
2015-07-07,87.5,91.2,76.9,76.9,14.3,0,0.0,152.9,72.1
2015-07-08,85.0,94.9,80.8,80.8,14.2,0,0.0,158.5,86.4
2015-07-09,82.5,97.4,72.1,72.1,25.3,0,0.0,189.6,103.2
2015-07-10,90.7,95.2,86.4,86.4,8.8,0,0.0,232.2,129.0
2015-07-11,113.6,88.2,103.2,88.2,0.0,0,14.9,240.9,96.9
2015-07-13,133.6,126.4,144.0,126.4,0.0,0,17.6,227.2,112.7
2015-07-14,122.4,126.1,114.5,114.5,11.5,0,0.0,222.0,109.4
2015-07-15,120.0,119.2,112.7,112.7,6.5,0,0.0,227.9,118.5
2015-07-16,117.4,110.7,109.4,109.4,1.3,0,0.0,226.8,108.3
2015-07-17,125.5,121.3,118.5,118.5,2.8,0,0.0,204.6,96.3
2015-07-18,116.1,110.2,108.3,108.3,1.8,0,0.0,180.2,83.9
2015-07-20,103.2,109.9,96.3,96.3,13.6,0,0.0,165.2,81.3
2015-07-21,91.4,89.0,83.9,83.9,5.1,0,0.0,158.8,77.5
2015-07-22,88.4,86.6,81.3,81.3,5.3,0,0.0,162.7,85.2
2015-07-23,85.1,94.2,77.5,77.5,16.8,0,0.0,191.6,106.4
2015-07-24,92.5,92.7,85.2,85.2,7.4,0,0.0,236.4,130.0
2015-07-25,114.3,109.1,106.4,106.4,2.7,0,0.0,246.9,116.9
2015-07-27,137.0,152.6,130.0,130.0,22.5,0,0.0,230.7,113.7
2015-07-28,124.5,125.3,116.9,116.9,8.4,0,0.0,222.8,109.0
2015-07-29,120.7,119.6,113.7,113.7,5.8,0,0.0,225.5,116.5
2015-07-30,116.9,125.5,109.0,109.0,16.5,0,0.0,113.0,0.0
2015-07-31,123.7,131.6,116.5,116.5,15.1,0,0.0,0.0,0.0
