tarih,talep_tahmin,talep_gercek,acilis_stok,satilan,stoksuz,fire,kapanis_stok,hedef_stok,siparis
2015-06-20,116.3,102.4,116.3,102.4,0.0,0,13.8,192.6,178.8
2015-06-22,102.4,96.2,13.8,13.8,82.3,0,0.0,177.2,0.0
2015-06-23,90.2,94.1,178.8,94.1,0.0,0,84.8,170.5,85.7
2015-06-24,86.9,83.7,84.8,83.7,0.0,0,1.1,174.5,87.6
2015-06-25,83.6,88.3,86.8,86.8,1.5,0,0.0,203.8,116.2
2015-06-26,90.9,82.9,87.6,82.9,0.0,0,4.7,244.1,123.3
2015-06-27,112.9,100.5,120.9,100.5,0.0,0,20.4,250.6,106.9
2015-06-29,131.3,129.9,143.7,129.9,0.0,0,13.7,235.6,115.0
2015-06-30,119.3,143.4,120.6,120.6,22.7,0,0.0,229.6,114.6
2015-07-01,116.3,130.6,115.0,115.0,15.6,0,0.0,234.3,119.7
2015-07-02,113.3,139.0,114.6,114.6,24.3,0,0.0,232.5,112.8
2015-07-03,121.0,116.6,119.7,116.6,0.0,0,3.1,210.3,94.4
2015-07-04,111.5,119.9,115.9,115.9,4.0,0,0.0,186.3,91.9
2015-07-06,98.9,109.0,94.4,94.4,14.5,0,0.0,172.4,80.6
2015-07-07,87.5,91.2,91.9,91.2,0.0,0,0.6,167.5,86.3
2015-07-08,85.0,94.9,81.2,81.2,13.7,0,0.0,173.2,86.9
2015-07-09,82.5,97.4,86.3,86.3,11.1,0,0.0,204.3,117.4
2015-07-10,90.7,95.2,86.9,86.9,8.3,0,0.0,247.2,129.8
2015-07-11,113.6,88.2,117.4,88.2,0.0,0,29.1,256.0,97.0
2015-07-13,133.6,126.4,159.0,126.4,0.0,0,32.6,242.4,112.7
2015-07-14,122.4,126.1,129.7,126.0,0.0,0,3.6,237.4,121.1
2015-07-15,120.0,119.2,116.3,116.3,2.9,0,0.0,243.0,121.9
2015-07-16,117.4,110.7,121.1,110.7,0.0,0,10.4,241.6,109.3
2015-07-17,125.5,121.3,132.3,121.3,0.0,0,11.0,219.3,99.0
2015-07-18,116.1,110.2,120.3,110.2,0.0,0,10.2,194.7,85.5
2015-07-20,103.2,109.9,109.2,109.2,0.7,0,0.0,179.8,94.3
2015-07-21,91.4,89.0,85.5,85.5,3.5,0,0.0,173.5,79.2
2015-07-22,88.4,86.6,94.3,86.6,0.0,0,7.7,177.6,90.7
2015-07-23,85.1,94.2,86.9,86.9,7.3,0,0.0,206.8,116.1
2015-07-24,92.5,92.7,90.7,90.7,2.0,0,0.0,251.3,135.3
2015-07-25,114.3,109.1,116.1,109.1,0.0,0,7.0,261.5,119.3
2015-07-27,137.0,152.6,142.2,142.2,10.3,0,0.0,245.2,125.9
2015-07-28,124.5,125.3,119.3,119.3,6.0,0,0.0,237.7,111.7
2015-07-29,120.7,119.6,125.9,119.6,0.0,0,6.4,240.6,122.5
2015-07-30,116.9,125.5,118.1,118.1,7.4,0,0.0,123.7,1.2
2015-07-31,123.7,131.6,122.5,122.5,9.1,0,0.0,0.0,0.0
