hiperparametre,deger,deneme,en_iyi,medyan
hucre_tipi,LSTM,27,0.01644643023610115,0.10484099388122559
hucre_tipi,GRU,35,0.009041359648108482,0.10872876644134521
hucre_tipi,SimpleRNN,28,0.007958249188959599,0.5685731470584869
optimizer,adam,30,0.009041359648108482,0.14944346249103546
optimizer,adamax,21,0.007958249188959599,0.19506879150867462
optimizer,sgd,27,0.017502039670944214,0.2444252371788025
optimizer,rmsprop,12,0.028526853770017624,0.7664070725440979
num_layers,1,24,0.007958249188959599,0.026053592562675476
num_layers,2,18,0.012233487330377102,0.14140348136425018
num_layers,5,17,0.013139056041836739,0.31112509965896606
num_layers,4,18,0.028526853770017624,0.6016943454742432
num_layers,3,13,0.017460450530052185,1.792501449584961
batch_size,64,30,0.009041359648108482,0.04084201715886593
batch_size,8,30,0.007958249188959599,0.14839669317007065
batch_size,32,16,0.013139056041836739,0.30807479470968246
batch_size,16,14,0.06696853041648865,0.7526426017284393
cift_yonlu,False,52,0.009041359648108482,0.18357021361589432
cift_yonlu,True,38,0.007958249188959599,0.34242305159568787
batch_norm,False,55,0.009041359648108482,0.046626340597867966
batch_norm,True,35,0.007958249188959599,0.753132164478302
clipnorm,1.0,44,0.00915012788027525,0.24780689179897308
clipnorm,0.0,46,0.007958249188959599,0.24864641577005386
