ds,gercek,tahmin
2015-07-07,3649.9999999999995,4408.3667
2015-07-08,3797.0000000000005,3895.3894
2015-07-09,3897.0,4037.3237
2015-07-10,3808.0,4181.624
2015-07-11,3530.0,4114.997
2015-07-13,5054.0,3901.0093
2015-07-14,5042.0,5023.4883
2015-07-15,4767.0,5035.266
2015-07-16,4427.0,4690.5796
2015-07-17,4852.0,4416.872
2015-07-18,4406.0,4768.626
2015-07-20,4395.0,4476.935
2015-07-21,3558.0,4434.465
2015-07-22,3464.0,3854.2964
2015-07-23,3769.0,3808.215
2015-07-24,3706.0,4104.2266
2015-07-25,4364.0,4078.149
2015-07-27,6102.000000000001,4525.504
2015-07-28,5011.0,5810.1587
2015-07-29,4782.0,4916.72
2015-07-30,5020.0,4584.183
2015-07-31,5263.0,4846.7993
