ds,gercek,tahmin
2015-07-07,3649.9999999999995,4135.133
2015-07-08,3797.0000000000005,3637.048
2015-07-09,3897.0,3680.6694
2015-07-10,3808.0,3851.0103
2015-07-11,3530.0,4036.2803
2015-07-13,5054.0,4089.352
2015-07-14,5042.0,5214.8325
2015-07-15,4767.0,5216.05
2015-07-16,4427.0,4915.612
2015-07-17,4852.0,4523.6787
2015-07-18,4406.0,4589.5605
2015-07-20,4395.0,4292.9663
2015-07-21,3558.0,4177.7124
2015-07-22,3464.0,3619.2258
2015-07-23,3769.0,3537.2668
2015-07-24,3706.0,3840.5696
2015-07-25,4364.0,3941.6846
2015-07-27,6102.000000000001,4555.676
2015-07-28,5011.0,5816.205
2015-07-29,4782.0,5109.3647
2015-07-30,5020.0,4738.6543
2015-07-31,5263.0,4750.8813
