ds,gercek,tahmin
2015-07-07,3649.9999999999995,4466.2915
2015-07-08,3797.0000000000005,3730.264
2015-07-09,3897.0,3907.9304
2015-07-10,3808.0,4089.8843
2015-07-11,3530.0,4049.759
2015-07-13,5054.0,4061.436
2015-07-14,5042.0,5211.2944
2015-07-15,4767.0,5246.492
2015-07-16,4427.0,4724.3076
2015-07-17,4852.0,4625.362
2015-07-18,4406.0,4785.635
2015-07-20,4395.0,4512.3535
2015-07-21,3558.0,4291.7944
2015-07-22,3464.0,3820.0396
2015-07-23,3769.0,3664.8145
2015-07-24,3706.0,4009.2478
2015-07-25,4364.0,3927.3262
2015-07-27,6102.000000000001,4541.211
2015-07-28,5011.0,6011.261
2015-07-29,4782.0,5086.24
2015-07-30,5020.0,4632.2437
2015-07-31,5263.0,5143.858
