ds,gercek,tahmin
2015-06-20,4097,4650.094420438184
2015-06-22,3846,4096.086167569976
2015-06-23,3762,3609.7125631775166
2015-06-24,3346,3477.0347950157548
2015-06-25,3533,3342.9520186546
2015-06-26,3317,3635.9624355974747
2015-06-27,4019,4515.547576864685
2015-06-29,5197,5250.217735995797
2015-06-30,5735,4772.389693820211
2015-07-01,5223,4651.3418982284375
2015-07-02,5558,4531.724592153895
2015-07-03,4665,4841.689839499027
2015-07-04,4797,4458.961781147641
2015-07-06,4359,3954.3751360139013
2015-07-07,3650,3498.401784749869
2015-07-08,3797,3398.8933791403824
2015-07-09,3897,3299.8341193581928
2015-07-10,3808,3628.7187863754248
2015-07-11,3530,4543.965247677806
2015-07-13,5054,5344.948958221303
2015-07-14,5042,4895.62747979586
2015-07-15,4767,4798.64731077075
2015-07-16,4427,4697.7707148856425
2015-07-17,4852,5020.389738878131
2015-07-18,4406,4643.6221084027375
2015-07-20,4395,4129.343621672733
2015-07-21,3558,3657.4435505529
2015-07-22,3464,3534.7836060054547
2015-07-23,3769,3405.73154816252
2015-07-24,3706,3698.368850760495
2015-07-25,4364,4571.890941823682
2015-07-27,6102,5480.916524556938
2015-07-28,5011,4979.712319145457
2015-07-29,4782,4829.955297829444
2015-07-30,5020,4676.7732085406815
2015-07-31,5263,4948.940859677144
