ds,gercek,tahmin
2015-07-07,3649.9999999999995,4275.583
2015-07-08,3797.0000000000005,3469.1494
2015-07-09,3897.0,3852.5603
2015-07-10,3808.0,4146.843
2015-07-11,3530.0,4183.9775
2015-07-13,5054.0,4306.1646
2015-07-14,5042.0,4984.167
2015-07-15,4767.0,5198.855
2015-07-16,4427.0,4582.8564
2015-07-17,4852.0,4739.1924
2015-07-18,4406.0,4672.1562
2015-07-20,4395.0,4440.7007
2015-07-21,3558.0,4058.9019
2015-07-22,3464.0,3859.8257
2015-07-23,3769.0,3604.5781
2015-07-24,3706.0,4175.354
2015-07-25,4364.0,4022.7493
2015-07-27,6102.000000000001,4672.34
2015-07-28,5011.0,5695.157
2015-07-29,4782.0,5061.745
2015-07-30,5020.0,4701.6587
2015-07-31,5263.0,5171.2485
