ds,gercek,tahmin
2015-06-20,4097,4215.074
2015-06-22,3846,3886.5386
2015-06-23,3762,3293.5586
2015-06-24,3346,3568.429
2015-06-25,3533,3475.9883
2015-06-26,3317,3731.2515
2015-06-27,4019,4647.0547
2015-06-29,5197,5704.173
2015-06-30,5735,5366.6675
2015-07-01,5223,5359.7915
2015-07-02,5558,5211.4663
2015-07-03,4665,5347.705
2015-07-04,4797,4573.744
2015-07-06,4359,3897.0652
2015-07-07,3650,3952.437
2015-07-08,3797,3812.8115
2015-07-09,3897,3663.4116
2015-07-10,3808,3849.7776
2015-07-11,3530,4229.5825
2015-07-13,5054,5221.8066
2015-07-14,5042,5078.625
2015-07-15,4767,4976.577
2015-07-16,4427,4258.634
2015-07-17,4852,4435.462
2015-07-18,4406,4198.5566
2015-07-20,4395,3859.7886
2015-07-21,3558,3913.6765
2015-07-22,3464,3567.8818
2015-07-23,3769,3478.236
2015-07-24,3706,3804.3833
2015-07-25,4364,4051.6592
2015-07-27,6102,5527.246
2015-07-28,5011,5534.016
2015-07-29,4782,5236.0366
2015-07-30,5020,4987.7363
2015-07-31,5263,5443.759
