ds,gercek,tahmin
2015-06-20,4097,4220.318
2015-06-22,3846,4022.1558
2015-06-23,3762,3468.79
2015-06-24,3346,3598.3616
2015-06-25,3533,3189.3762
2015-06-26,3317,3752.3455
2015-06-27,4019,4347.7505
2015-06-29,5197,5482.5713
2015-06-30,5735,5415.921
2015-07-01,5223,5337.9985
2015-07-02,5558,5215.612
2015-07-03,4665,5376.9253
2015-07-04,4797,4782.1084
2015-07-06,4359,3924.8706
2015-07-07,3650,4085.3918
2015-07-08,3797,3924.9944
2015-07-09,3897,3701.4807
2015-07-10,3808,3864.8242
2015-07-11,3530,4450.737
2015-07-13,5054,5399.6826
2015-07-14,5042,5042.5244
2015-07-15,4767,4815.7954
2015-07-16,4427,4205.338
2015-07-17,4852,4359.598
2015-07-18,4406,3989.0889
2015-07-20,4395,3922.8752
2015-07-21,3558,3951.8865
2015-07-22,3464,3635.1758
2015-07-23,3769,3433.84
2015-07-24,3706,3792.5247
2015-07-25,4364,4159.9355
2015-07-27,6102,5451.2344
2015-07-28,5011,5394.9824
2015-07-29,4782,5255.802
2015-07-30,5020,4857.11
2015-07-31,5263,5499.6416
